,Ngày,Giá điều chỉnh,Giá đóng cửa,thay đổi,KL1,GT1,KL2,GT2,Giá mở cửa,Giá cao nhất,Giá thấp nhất
0,27/12/2021,13.90 ,13.90 ,13.90 ,  ,"114,858 ","1,603,045,700 ",0 ,0 ,14.70 ,14.50 
1,24/12/2021,14.60 ,14.60 ,14.60 ,  ,"45,902 ","675,310,000 ",0 ,0 ,15.60 ,15.0 
2,23/12/2021,14.90 ,14.90 ,14.90 ,  ,"147,902 ","2,303,038,900 ",0 ,0 ,15.10 ,16.90 
3,21/12/2021,13.50 ,13.50 ,13.50 ,  ,"37,600 ","503,110,000 ",0 ,0 ,13.40 ,13.4 
4,20/12/2021,13.40 ,13.40 ,13.40 ,  ,"35,200 ","471,220,000 ",0 ,0 ,13.40 ,13.60 
5,17/12/2021,13.50 ,13.50 ,13.50 ,  ,"23,980 ","322,462,100 ",0 ,0 ,13.40 ,13.6 
6,16/12/2021,13.50 ,13.50 ,13.50 ,  ,"16,900 ","227,090,000 ",0 ,0 ,13.50 ,13.50 
7,15/12/2021,13.50 ,13.50 ,13.50 ,  ,"39,365 ","532,173,600 ",0 ,0 ,13.50 ,13.4 
8,14/12/2021,13.60 ,13.60 ,13.60 ,  ,"12,639 ","171,087,700 ",0 ,0 ,13.50 ,13.50 
9,13/12/2021,13.70 ,13.70 ,13.70 ,  ,"44,929 ","608,517,300 ",0 ,0 ,13.50 ,13.6 
10,10/12/2021,13.60 ,13.60 ,13.60 ,  ,"24,292 ","328,864,100 ",0 ,0 ,13.50 ,13.60 
11,09/12/2021,13.60 ,13.60 ,13.60 ,  ,"28,610 ","385,560,900 ",0 ,0 ,13.70 ,13.5 
12,08/12/2021,13.50 ,13.50 ,13.50 ,  ,"31,200 ","427,100,000 ",0 ,0 ,13.40 ,13.60 
13,07/12/2021,13.60 ,13.60 ,13.60 ,  ,"28,769 ","385,225,500 ",0 ,0 ,13.40 ,13.5 
14,06/12/2021,13.50 ,13.50 ,13.50 ,  ,"60,920 ","818,874,000 ",0 ,0 ,13.80 ,13.90 
15,03/12/2021,13.50 ,13.50 ,13.50 ,  ,"56,100 ","772,170,000 ",0 ,0 ,14.20 ,14.0 
16,02/12/2021,14.00 ,14.00 ,14.00 ,  ,"54,618 ","774,404,600 ",0 ,0 ,14.20 ,14.20 
17,01/12/2021,14.20 ,14.20 ,14.20 ,  ,"59,906 ","850,834,000 ",0 ,0 ,13.90 ,14.1 
18,30/11/2021,14.00 ,14.00 ,14.00 ,  ,"49,726 ","691,031,400 ",60 ,"702,000 ",13.70 ,13.80 
19,29/11/2021,13.80 ,13.80 ,13.80 ,  ,"40,810 ","558,659,000 ",0 ,0 ,13.80 ,13.6 
20,26/11/2021,13.70 ,13.70 ,13.70 ,  ,"38,061 ","526,151,700 ",0 ,0 ,14.00 ,14.10 
21,25/11/2021,14.00 ,14.00 ,14.00 ,  ,"45,600 ","640,220,000 ",0 ,0 ,14.40 ,14.3 
22,24/11/2021,14.30 ,14.30 ,14.30 ,  ,"32,458 ","466,252,100 ",0 ,0 ,13.90 ,14.50 
23,23/11/2021,14.00 ,14.00 ,14.00 ,  ,"41,860 ","581,210,400 ",0 ,0 ,14.20 ,14.2 
24,22/11/2021,13.60 ,13.60 ,13.60 ,  ,"173,590 ","2,465,493,000 ",0 ,0 ,14.70 ,14.80 
25,19/11/2021,14.80 ,14.80 ,14.80 ,  ,"177,720 ","2,608,918,000 ",0 ,0 ,15.00 ,15.0 
26,18/11/2021,15.00 ,15.00 ,15.00 ,  ,"96,173 ","1,438,487,300 ",0 ,0 ,14.90 ,14.90 
27,17/11/2021,15.00 ,15.00 ,15.00 ,  ,"160,425 ","2,393,914,300 ",0 ,0 ,15.10 ,14.8 
28,16/11/2021,15.30 ,15.30 ,15.30 ,  ,"75,831 ","1,147,878,000 ",0 ,0 ,15.50 ,15.70 
29,15/11/2021,15.60 ,15.60 ,15.60 ,  ,"112,786 ","1,752,135,700 ",0 ,0 ,14.40 ,14.5 
30,12/11/2021,15.00 ,15.00 ,15.00 ,  ,"263,715 ","3,809,521,900 ",0 ,0 ,13.80 ,14.00 
31,11/11/2021,14.00 ,14.00 ,14.00 ,  ,"95,910 ","1,322,829,000 ",0 ,0 ,13.80 ,13.8 
32,10/11/2021,13.90 ,13.90 ,13.90 ,  ,"43,931 ","608,400,900 ",0 ,0 ,13.90 ,14.00 
33,09/11/2021,13.80 ,13.80 ,13.80 ,  ,"63,656 ","884,992,700 ",0 ,0 ,13.60 ,13.9 
34,08/11/2021,13.60 ,13.60 ,13.60 ,  ,"69,110 ","942,187,000 ",0 ,0 ,13.50 ,13.50 
35,05/11/2021,13.50 ,13.50 ,13.50 ,  ,"55,810 ","753,607,000 ",2 ,"23,200 ",13.60 ,13.8 
36,04/11/2021,13.50 ,13.50 ,13.50 ,  ,"48,200 ","653,810,000 ",0 ,0 ,13.70 ,13.50 
37,03/11/2021,13.40 ,13.40 ,13.40 ,  ,"48,200 ","661,300,000 ",0 ,0 ,13.50 ,13.7 
38,02/11/2021,13.70 ,13.70 ,13.70 ,  ,"72,685 ","977,752,000 ",0 ,0 ,13.50 ,13.70 
39,01/11/2021,13.40 ,13.40 ,13.40 ,  ,"64,607 ","873,645,200 ",0 ,0 ,13.70 ,13.7 
40,29/10/2021,13.70 ,13.70 ,13.70 ,  ,"38,065 ","522,738,100 ",0 ,0 ,13.10 ,13.50 
41,28/10/2021,13.40 ,13.40 ,13.40 ,  ,"81,501 ","1,063,893,400 ",0 ,0 ,13.10 ,13.2 
42,27/10/2021,13.20 ,13.20 ,13.20 ,  ,"37,537 ","493,528,700 ",0 ,0 ,13.20 ,13.30 
43,26/10/2021,13.30 ,13.30 ,13.30 ,  ,"5,201 ","68,413,400 ",0 ,0 ,13.00 ,13.2 
44,25/10/2021,13.20 ,13.20 ,13.20 ,  ,"82,118 ","1,070,792,000 ",0 ,0 ,13.20 ,13.20 
45,22/10/2021,13.20 ,13.20 ,13.20 ,  ,"22,125 ","292,547,900 ",0 ,0 ,13.40 ,13.4 
46,21/10/2021,13.40 ,13.40 ,13.40 ,  ,"45,016 ","603,172,600 ",0 ,0 ,13.40 ,13.40 
47,20/10/2021,13.50 ,13.50 ,13.50 ,  ,"15,600 ","209,590,000 ",0 ,0 ,13.30 ,13.3 
48,19/10/2021,13.30 ,13.30 ,13.30 ,  ,"8,324 ","110,640,200 ",0 ,0 ,13.30 ,13.40 
49,18/10/2021,13.30 ,13.30 ,13.30 ,  ,"11,720 ","156,178,000 ",0 ,0 ,13.40 ,13.4 
50,15/10/2021,13.40 ,13.40 ,13.40 ,  ,"25,416 ","339,493,500 ",0 ,0 ,13.50 ,13.40 
51,14/10/2021,13.50 ,13.50 ,13.50 ,  ,"8,000 ","108,000,000 ",0 ,0 ,13.50 ,13.5 
52,13/10/2021,13.60 ,13.60 ,13.60 ,  ,"18,827 ","253,995,100 ",0 ,0 ,13.50 ,13.50 
53,12/10/2021,13.60 ,13.60 ,13.60 ,  ,820 ,"11,098,000 ",0 ,0 ,13.60 ,13.4 
54,11/10/2021,13.60 ,13.60 ,13.60 ,  ,"20,900 ","283,230,000 ",0 ,0 ,13.60 ,13.60 
55,08/10/2021,13.60 ,13.60 ,13.60 ,  ,"13,200 ","179,260,000 ",0 ,0 ,13.50 ,14.3 
56,07/10/2021,13.60 ,13.60 ,13.60 ,  ,"8,101 ","109,353,400 ",0 ,0 ,13.50 ,13.50 
57,06/10/2021,13.40 ,13.40 ,13.40 ,  ,"10,300 ","138,800,000 ",0 ,0 ,13.50 ,13.4 
58,05/10/2021,13.50 ,13.50 ,13.50 ,  ,"8,700 ","117,410,000 ",0 ,0 ,13.50 ,13.50 
59,04/10/2021,13.50 ,13.50 ,13.50 ,  ,"21,521 ","290,063,500 ",0 ,0 ,13.50 ,13.5 
60,01/10/2021,13.50 ,13.50 ,13.50 ,  ,"1,327 ","17,941,800 ",0 ,0 ,13.50 ,13.60 
61,30/09/2021,13.40 ,13.40 ,13.40 ,  ,"5,628 ","75,830,800 ",0 ,0 ,13.60 ,13.6 
62,29/09/2021,13.60 ,13.60 ,13.60 ,  ,"6,800 ","92,510,000 ",0 ,0 ,13.50 ,13.70 
63,28/09/2021,13.80 ,13.80 ,13.80 ,  ,"22,842 ","308,929,600 ",0 ,0 ,13.80 ,13.5 
64,27/09/2021,13.60 ,13.60 ,13.60 ,  ,"21,724 ","299,603,700 ",0 ,0 ,14.10 ,14.20 
65,24/09/2021,14.10 ,14.10 ,14.10 ,  ,"17,928 ","251,974,800 ",0 ,0 ,14.10 ,14.0 
66,23/09/2021,14.20 ,14.20 ,14.20 ,  ,"28,441 ","402,234,500 ",0 ,0 ,14.40 ,14.20 
67,22/09/2021,14.50 ,14.50 ,14.50 ,  ,"52,800 ","758,190,000 ",0 ,0 ,13.90 ,14.2 
68,21/09/2021,14.20 ,14.20 ,14.20 ,  ,"39,120 ","545,380,000 ",0 ,0 ,14.40 ,13.80 
69,20/09/2021,14.40 ,14.40 ,14.40 ,  ,"73,123 ","1,054,660,400 ",0 ,0 ,14.50 ,14.5 
70,17/09/2021,14.60 ,14.60 ,14.60 ,  ,"41,934 ","606,956,700 ",0 ,0 ,14.70 ,14.70 
71,16/09/2021,14.80 ,14.80 ,14.80 ,  ,"19,077 ","279,687,000 ",0 ,0 ,14.40 ,14.6 
72,15/09/2021,14.60 ,14.60 ,14.60 ,  ,"37,200 ","536,590,000 ",0 ,0 ,14.30 ,14.30 
73,14/09/2021,13.80 ,13.80 ,13.80 ,  ,"108,721 ","1,550,254,600 ",0 ,0 ,13.50 ,13.9 
74,13/09/2021,14.00 ,14.00 ,14.00 ,  ,"65,500 ","884,670,000 ",0 ,0 ,13.50 ,13.60 
75,10/09/2021,13.60 ,13.60 ,13.60 ,  ,"10,000 ","134,890,000 ",0 ,0 ,13.60 ,13.4 
76,09/09/2021,13.50 ,13.50 ,13.50 ,  ,"11,519 ","156,118,500 ",0 ,0 ,13.70 ,13.80 
77,08/09/2021,13.70 ,13.70 ,13.70 ,  ,"14,109 ","192,587,000 ",0 ,0 ,13.80 ,13.5 
78,07/09/2021,13.50 ,13.50 ,13.50 ,  ,"60,669 ","835,204,400 ",0 ,0 ,14.00 ,13.80 
79,06/09/2021,13.90 ,13.90 ,13.90 ,  ,"36,727 ","512,855,200 ",0 ,0 ,13.80 ,13.9 
80,01/09/2021,13.90 ,13.90 ,13.90 ,  ,"43,542 ","600,822,400 ",0 ,0 ,13.30 ,13.40 
81,31/08/2021,13.40 ,13.40 ,13.40 ,  ,"70,531 ","940,660,000 ",0 ,0 ,12.70 ,13.0 
82,30/08/2021,12.80 ,12.80 ,12.80 ,  ,"6,809 ","86,187,000 ",0 ,0 ,12.90 ,12.60 
83,27/08/2021,13.00 ,13.00 ,13.00 ,  ,"4,300 ","55,480,000 ",0 ,0 ,12.90 ,13.1 
84,26/08/2021,13.00 ,13.00 ,13.00 ,  ,"36,629 ","473,227,300 ",0 ,0 ,13.20 ,13.10 
85,25/08/2021,13.20 ,13.20 ,13.20 ,  ,"8,000 ","105,270,000 ",0 ,0 ,13.30 ,13.2 
86,24/08/2021,13.20 ,13.20 ,13.20 ,  ,"41,810 ","556,064,100 ",0 ,0 ,12.80 ,12.90 
87,23/08/2021,12.90 ,12.90 ,12.90 ,  ,"27,961 ","357,069,500 ",0 ,0 ,12.90 ,12.8 
88,20/08/2021,13.00 ,13.00 ,13.00 ,  ,"46,413 ","599,589,000 ",0 ,0 ,13.00 ,13.00 
89,19/08/2021,13.00 ,13.00 ,13.00 ,  ,"44,600 ","580,210,000 ",0 ,0 ,12.50 ,12.6 
90,18/08/2021,12.60 ,12.60 ,12.60 ,  ,"8,100 ","101,310,000 ",0 ,0 ,12.60 ,12.50 
91,17/08/2021,12.50 ,12.50 ,12.50 ,  ,"32,055 ","404,858,000 ",0 ,0 ,12.90 ,12.9 
92,16/08/2021,12.90 ,12.90 ,12.90 ,  ,"27,220 ","351,518,000 ",0 ,0 ,12.80 ,12.90 
93,13/08/2021,12.90 ,12.90 ,12.90 ,  ,"24,410 ","313,058,000 ",0 ,0 ,12.90 ,12.9 
94,12/08/2021,12.90 ,12.90 ,12.90 ,  ,"19,400 ","249,980,000 ",0 ,0 ,12.70 ,12.70 
95,11/08/2021,12.60 ,12.60 ,12.60 ,  ,"29,214 ","370,471,500 ",0 ,0 ,12.20 ,12.5 
96,10/08/2021,12.50 ,12.50 ,12.50 ,  ,"102,004 ","1,247,828,900 ",0 ,0 ,11.90 ,12.00 
97,09/08/2021,12.00 ,12.00 ,12.00 ,  ,"45,610 ","541,349,200 ",0 ,0 ,11.80 ,11.8 
98,06/08/2021,11.80 ,11.80 ,11.80 ,  ,"13,203 ","155,954,800 ",0 ,0 ,11.80 ,11.80 
99,05/08/2021,11.80 ,11.80 ,11.80 ,  ,"6,201 ","73,041,800 ",0 ,0 ,11.60 ,11.8 
100,04/08/2021,11.70 ,11.70 ,11.70 ,  ,"11,900 ","138,160,000 ",0 ,0 ,11.60 ,11.60 
101,03/08/2021,11.60 ,11.60 ,11.60 ,  ,"6,910 ","80,206,600 ",0 ,0 ,11.60 ,11.8 
102,02/08/2021,11.60 ,11.60 ,11.60 ,  ,"11,403 ","131,805,000 ",0 ,0 ,11.70 ,11.40 
103,30/07/2021,11.60 ,11.60 ,11.60 ,  ,"15,420 ","181,176,000 ",0 ,0 ,11.70 ,11.6 
104,29/07/2021,11.80 ,11.80 ,11.80 ,  ,"8,700 ","101,590,000 ",0 ,0 ,11.90 ,11.40 
105,28/07/2021,11.80 ,11.80 ,11.80 ,  ,"8,610 ","102,607,600 ",0 ,0 ,11.80 ,11.8 
106,27/07/2021,11.70 ,11.70 ,11.70 ,  ,"1,100 ","12,940,000 ",0 ,0 ,11.70 ,11.80 
107,26/07/2021,11.60 ,11.60 ,11.60 ,  ,"8,429 ","98,619,000 ",0 ,0 ,11.60 ,11.7 
108,23/07/2021,11.80 ,11.80 ,11.80 ,  ,"4,001 ","46,421,800 ",0 ,0 ,11.90 ,11.80 
109,22/07/2021,11.60 ,11.60 ,11.60 ,  ,"35,413 ","420,333,400 ",0 ,0 ,11.80 ,11.9 
110,21/07/2021,11.80 ,11.80 ,11.80 ,  ,"7,500 ","88,320,000 ",0 ,0 ,11.70 ,11.50 
111,20/07/2021,11.50 ,11.50 ,11.50 ,  ,"9,901 ","115,972,000 ",0 ,0 ,11.60 ,11.5 
112,19/07/2021,11.50 ,11.50 ,11.50 ,  ,"13,500 ","156,800,000 ",0 ,0 ,11.80 ,11.60 
113,16/07/2021,11.90 ,11.90 ,11.90 ,  ,"6,231 ","73,257,400 ",0 ,0 ,11.40 ,11.8 
