,Ngày,Giá điều chỉnh,Giá đóng cửa,thay đổi,KL1,GT1,KL2,GT2,Giá mở cửa,Giá cao nhất,Giá thấp nhất
0,23/12/2021,29.10 ,29.10 ,-0.10 (-0.34 %),"63,200 ","1,814,000,000 ",0 ,0 ,29.00 ,29.15 ,28.00 
1,22/12/2021,29.20 ,29.20 ,-0.50 (-1.68 %),"53,000 ","1,550,000,000 ",0 ,0 ,29.75 ,29.80 ,29.00 
2,21/12/2021,29.65 ,29.65 ,0.15 (0.51 %),"48,300 ","1,428,000,000 ",0 ,0 ,29.10 ,29.75 ,29.10 
3,20/12/2021,29.50 ,29.50 ,0.20 (0.68 %),"44,700 ","1,300,000,000 ",0 ,0 ,29.30 ,29.50 ,28.80 
4,17/12/2021,29.30 ,29.30 ,0.15 (0.51 %),"78,400 ","2,269,000,000 ",0 ,0 ,29.15 ,29.30 ,28.75 
5,16/12/2021,29.15 ,29.15 ,-0.25 (-0.85 %),"22,300 ","651,000,000 ",0 ,0 ,29.40 ,29.50 ,29.00 
6,15/12/2021,29.40 ,29.40 ,-0.20 (-0.68 %),"27,500 ","810,000,000 ",0 ,0 ,29.60 ,29.70 ,29.30 
7,14/12/2021,29.60 ,29.60 ,0.45 (1.54 %),"66,600 ","1,963,000,000 ",0 ,0 ,29.10 ,29.60 ,29.05 
8,13/12/2021,29.15 ,29.15 ,-0.35 (-1.19 %),"47,000 ","1,365,000,000 ",0 ,0 ,29.00 ,29.50 ,28.90 
9,10/12/2021,29.50 ,29.50 ,0.00 (0.00 %),"25,500 ","741,000,000 ",0 ,0 ,29.10 ,29.50 ,29.00 
10,09/12/2021,29.50 ,29.50 ,0.65 (2.25 %),"13,800 ","401,000,000 ",0 ,0 ,28.90 ,29.85 ,28.85 
11,08/12/2021,28.85 ,28.85 ,-0.65 (-2.20 %),"13,700 ","396,000,000 ",0 ,0 ,29.50 ,29.50 ,28.70 
12,07/12/2021,29.50 ,29.50 ,0.90 (3.15 %),"67,100 ","1,922,000,000 ",0 ,0 ,28.80 ,29.50 ,27.55 
13,06/12/2021,28.60 ,28.60 ,-0.40 (-1.38 %),"43,900 ","1,258,000,000 ",0 ,0 ,29.00 ,29.00 ,28.45 
14,03/12/2021,29.00 ,29.00 ,-0.55 (-1.86 %),"37,700 ","1,102,000,000 ",0 ,0 ,29.55 ,29.60 ,29.00 
15,02/12/2021,29.55 ,29.55 ,-0.45 (-1.50 %),"45,800 ","1,340,000,000 ",0 ,0 ,30.00 ,30.00 ,29.05 
16,01/12/2021,30.00 ,30.00 ,-0.80 (-2.60 %),"14,300 ","429,000,000 ",0 ,0 ,30.40 ,30.40 ,29.80 
17,30/11/2021,30.80 ,30.80 ,1.40 (4.76 %),"92,200 ","2,711,000,000 ",0 ,0 ,29.40 ,30.95 ,28.95 
18,29/11/2021,29.40 ,29.40 ,-0.40 (-1.34 %),"75,100 ","2,192,000,000 ",0 ,0 ,28.60 ,29.50 ,28.60 
19,26/11/2021,29.80 ,29.80 ,-0.20 (-0.67 %),"49,000 ","1,459,000,000 ",0 ,0 ,30.05 ,30.05 ,29.40 
20,25/11/2021,30.00 ,30.00 ,0.00 (0.00 %),"48,800 ","1,462,000,000 ",0 ,0 ,30.00 ,30.20 ,29.85 
21,24/11/2021,30.00 ,30.00 ,-0.20 (-0.66 %),"44,500 ","1,339,000,000 ",0 ,0 ,30.20 ,30.50 ,29.90 
22,23/11/2021,30.20 ,30.20 ,0.40 (1.34 %),"37,800 ","1,119,000,000 ",0 ,0 ,29.10 ,30.50 ,29.10 
23,22/11/2021,29.80 ,29.80 ,-0.40 (-1.32 %),"112,100 ","3,312,000,000 ",0 ,0 ,30.10 ,30.10 ,29.00 
24,19/11/2021,30.20 ,30.20 ,-1.25 (-3.97 %),"113,300 ","3,509,000,000 ",0 ,0 ,31.50 ,31.50 ,29.55 
25,18/11/2021,31.45 ,31.45 ,-0.55 (-1.72 %),"72,100 ","2,270,000,000 ",0 ,0 ,31.50 ,31.85 ,31.35 
26,17/11/2021,32.00 ,32.00 ,0.00 (0.00 %),"162,900 ","5,143,000,000 ",0 ,0 ,32.40 ,32.40 ,31.45 
27,16/11/2021,32.00 ,32.00 ,0.40 (1.27 %),"101,500 ","3,217,000,000 ",0 ,0 ,31.60 ,32.00 ,31.30 
28,15/11/2021,31.60 ,31.60 ,-0.20 (-0.63 %),"92,800 ","2,938,000,000 ",0 ,0 ,31.80 ,31.95 ,31.50 
29,12/11/2021,31.80 ,31.80 ,-0.50 (-1.55 %),"59,400 ","1,890,000,000 ",0 ,0 ,32.35 ,32.35 ,31.70 
30,11/11/2021,32.30 ,32.30 ,0.65 (2.05 %),"137,000 ","4,420,000,000 ",0 ,0 ,32.90 ,32.90 ,32.00 
31,10/11/2021,31.65 ,31.65 ,-0.05 (-0.16 %),"85,900 ","2,701,000,000 ",0 ,0 ,31.70 ,31.70 ,31.25 
32,09/11/2021,31.70 ,31.70 ,0.45 (1.44 %),"87,100 ","2,755,000,000 ",0 ,0 ,31.20 ,32.50 ,31.15 
33,08/11/2021,31.25 ,31.25 ,0.10 (0.32 %),"86,200 ","2,692,000,000 ",0 ,0 ,31.20 ,31.50 ,31.00 
34,05/11/2021,31.15 ,31.15 ,0.05 (0.16 %),"73,800 ","2,295,000,000 ",0 ,0 ,31.10 ,31.50 ,30.90 
35,04/11/2021,31.10 ,31.10 ,0.10 (0.32 %),"52,100 ","1,616,000,000 ",0 ,0 ,30.80 ,31.30 ,30.80 
36,03/11/2021,31.00 ,31.00 ,-0.40 (-1.27 %),"193,200 ","6,037,000,000 ",0 ,0 ,31.30 ,32.00 ,30.70 
37,02/11/2021,31.40 ,31.40 ,0.10 (0.32 %),"119,100 ","3,738,000,000 ",0 ,0 ,31.75 ,31.75 ,31.15 
38,01/11/2021,31.30 ,31.30 ,-0.65 (-2.03 %),"77,900 ","2,450,000,000 ",0 ,0 ,32.20 ,32.20 ,31.30 
