,Ngày,Giá điều chỉnh,Giá đóng cửa,thay đổi,KL1,GT1,KL2,GT2,Giá mở cửa,Giá cao nhất,Giá thấp nhất
0,23/12/2021,59.30 ,59.30 ,-6.50 (-9.88 %),"13,356,546 ","829,497,861,400 ",33 ,"1,956,900 ",65.80 ,66.00 ,69.00 
1,22/12/2021,65.80 ,65.80 ,4.20 (6.82 %),"11,348,001 ","747,591,084,200 ",0 ,0 ,61.60 ,62.0 ,67.70 
2,21/12/2021,61.60 ,61.60 ,5.60 (10.00 %),"9,370,475 ","540,390,004,100 ",0 ,0 ,56.00 ,58.20 ,61.60 
3,20/12/2021,56.00 ,56.00 ,3.00 (5.66 %),"7,672,375 ","415,550,441,100 ",0 ,0 ,53.00 ,53.0 ,56.50 
4,17/12/2021,53.00 ,53.00 ,3.30 (6.64 %),"8,520,407 ","455,438,937,400 ",0 ,0 ,49.70 ,52.00 ,54.10 
5,16/12/2021,49.70 ,49.70 ,4.40 (9.71 %),"10,031,258 ","495,435,870,600 ",0 ,0 ,45.30 ,46.5 ,49.80 
6,15/12/2021,45.30 ,45.30 ,4.10 (9.95 %),"7,808,623 ","348,273,565,900 ",0 ,0 ,41.20 ,41.20 ,45.30 
7,14/12/2021,41.20 ,41.20 ,0.20 (0.49 %),"3,675,957 ","152,878,931,800 ",0 ,0 ,41.00 ,42.9 ,43.10 
8,13/12/2021,41.00 ,41.00 ,2.90 (7.61 %),"4,685,845 ","184,798,450,200 ",50 ,"1,715,000 ",38.10 ,38.50 ,41.80 
9,10/12/2021,38.10 ,38.10 ,-1.20 (-3.05 %),"3,543,005 ","138,111,625,400 ",0 ,0 ,39.30 ,39.3 ,40.90 
10,09/12/2021,39.30 ,39.30 ,-0.60 (-1.50 %),"2,353,922 ","93,394,228,900 ",0 ,0 ,39.90 ,40.00 ,41.00 
11,08/12/2021,39.90 ,39.90 ,-2.00 (-4.77 %),"2,869,127 ","117,561,819,700 ",0 ,0 ,41.90 ,42.0 ,43.10 
12,07/12/2021,41.90 ,41.90 ,2.70 (6.89 %),"6,101,415 ","240,089,213,600 ",0 ,0 ,39.20 ,38.10 ,42.60 
13,06/12/2021,39.20 ,39.20 ,-4.30 (-9.89 %),"5,692,400 ","232,430,178,900 ",0 ,0 ,43.50 ,43.5 ,43.50 
14,03/12/2021,43.50 ,43.50 ,1.30 (3.08 %),"7,541,814 ","336,948,283,700 ",0 ,0 ,42.20 ,46.00 ,46.40 
15,02/12/2021,42.20 ,42.20 ,3.80 (9.90 %),"4,923,884 ","206,618,290,800 ",0 ,0 ,38.40 ,38.4 ,42.20 
16,01/12/2021,38.40 ,38.40 ,-2.10 (-5.19 %),"6,603,180 ","255,448,127,200 ",0 ,0 ,40.50 ,36.50 ,42.00 
17,30/11/2021,40.50 ,40.50 ,-4.50 (-10.00 %),"10,305,268 ","429,377,480,200 ",0 ,0 ,45.00 ,45.0 ,48.50 
18,29/11/2021,45.00 ,45.00 ,2.50 (5.88 %),"10,762,221 ","473,698,836,400 ",73 ,"2,795,900 ",42.50 ,45.00 ,46.60 
19,26/11/2021,42.50 ,42.50 ,3.80 (9.82 %),"5,712,234 ","242,251,415,000 ",0 ,0 ,38.70 ,42.5 ,42.50 
20,25/11/2021,38.70 ,38.70 ,3.50 (9.94 %),"1,681,538 ","65,013,042,700 ",0 ,0 ,35.20 ,38.70 ,38.70 
21,24/11/2021,35.20 ,35.20 ,3.20 (10.00 %),"3,524,375 ","122,705,549,300 ",0 ,0 ,32.00 ,32.0 ,35.20 
22,23/11/2021,32.00 ,32.00 ,2.60 (8.84 %),"5,309,551 ","163,020,216,000 ",0 ,0 ,29.40 ,29.20 ,32.30 
23,22/11/2021,29.40 ,29.40 ,-2.10 (-6.67 %),"11,165,428 ","351,391,288,300 ",0 ,0 ,31.50 ,33.5 ,34.60 
24,19/11/2021,31.50 ,31.50 ,2.70 (9.38 %),"13,201,336 ","413,011,097,600 ",0 ,0 ,28.80 ,31.60 ,31.60 
25,18/11/2021,28.80 ,28.80 ,2.60 (9.92 %),"3,416,188 ","98,107,484,400 ",0 ,0 ,26.20 ,28.8 ,28.80 
26,17/11/2021,26.20 ,26.20 ,2.30 (9.62 %),"7,294,799 ","188,168,738,800 ",0 ,0 ,23.90 ,26.20 ,26.20 
27,16/11/2021,23.90 ,23.90 ,2.10 (9.63 %),"19,569,277 ","458,342,990,600 ",0 ,0 ,21.80 ,23.9 ,23.90 
28,15/11/2021,21.80 ,21.80 ,1.90 (9.55 %),"3,043,078 ","66,339,100,400 ",0 ,0 ,19.90 ,21.80 ,21.80 
