,Ngày,Giá điều chỉnh,Giá đóng cửa,thay đổi,KL1,GT1,KL2,GT2,Giá mở cửa,Giá cao nhất,Giá thấp nhất
0,23/12/2021,123.30 ,123.30 ,-4.60 (-3.60 %),"41,800 ","5,228,000,000 ",0 ,0 ,128.00 ,130.00 ,123.00 
1,22/12/2021,127.90 ,127.90 ,-2.10 (-1.62 %),"52,600 ","6,592,000,000 ",0 ,0 ,129.80 ,130.50 ,123.00 
2,21/12/2021,130.00 ,130.00 ,1.50 (1.17 %),"29,500 ","3,822,000,000 ",0 ,0 ,128.70 ,131.00 ,128.50 
3,20/12/2021,128.50 ,128.50 ,4.90 (3.96 %),"39,300 ","4,994,000,000 ",0 ,0 ,123.60 ,130.90 ,123.60 
4,17/12/2021,123.60 ,123.60 ,-6.40 (-4.92 %),"59,400 ","7,465,000,000 ",0 ,0 ,130.10 ,131.00 ,122.20 
5,16/12/2021,130.00 ,130.00 ,-5.80 (-4.27 %),"73,300 ","9,581,000,000 ",0 ,0 ,136.00 ,140.00 ,126.40 
6,15/12/2021,135.80 ,135.80 ,1.60 (1.19 %),"36,400 ","4,959,000,000 ",0 ,0 ,133.70 ,140.00 ,133.60 
7,14/12/2021,134.20 ,134.20 ,1.00 (0.75 %),"127,400 ","17,748,000,000 ",0 ,0 ,141.50 ,142.50 ,133.90 
8,13/12/2021,133.20 ,133.20 ,8.70 (6.99 %),"52,200 ","6,863,000,000 ",0 ,0 ,123.00 ,133.20 ,123.00 
9,10/12/2021,124.50 ,124.50 ,-1.90 (-1.50 %),"48,900 ","6,020,000,000 ",0 ,0 ,124.00 ,127.00 ,121.00 
10,09/12/2021,126.40 ,126.40 ,2.40 (1.94 %),"64,600 ","8,238,000,000 ",0 ,0 ,124.90 ,131.90 ,124.00 
11,08/12/2021,124.00 ,124.00 ,2.00 (1.64 %),"65,700 ","8,115,000,000 ",0 ,0 ,120.80 ,124.80 ,120.80 
12,07/12/2021,122.00 ,122.00 ,3.50 (2.95 %),"90,100 ","10,711,000,000 ",0 ,0 ,117.00 ,123.00 ,116.00 
13,06/12/2021,118.50 ,118.50 ,1.80 (1.54 %),"69,100 ","8,027,000,000 ",0 ,0 ,115.70 ,118.90 ,114.00 
14,03/12/2021,116.70 ,116.70 ,7.60 (6.97 %),"172,700 ","19,969,000,000 ",0 ,0 ,116.00 ,116.70 ,112.00 
15,02/12/2021,109.10 ,109.10 ,7.10 (6.96 %),"152,100 ","16,229,000,000 ",0 ,0 ,104.30 ,109.10 ,102.00 
16,01/12/2021,102.00 ,102.00 ,-1.00 (-0.97 %),"36,300 ","3,644,000,000 ",0 ,0 ,103.00 ,103.00 ,99.70 
