,Ngày,Giá điều chỉnh,Giá đóng cửa,thay đổi,KL1,GT1,KL2,GT2,Giá mở cửa,Giá cao nhất,Giá thấp nhất
0,24/12/2021,52.80 ,52.80 ,-0.20 (-0.38 %),"11,200 ","594,000,000 ",0 ,0 ,53.00 ,54.90 ,52.00 
1,23/12/2021,53.00 ,53.00 ,0.20 (0.38 %),"18,600 ","977,000,000 ",0 ,0 ,52.60 ,53.00 ,52.20 
2,22/12/2021,52.80 ,52.80 ,-0.80 (-1.49 %),"31,900 ","1,691,000,000 ",0 ,0 ,53.90 ,53.90 ,52.80 
3,21/12/2021,53.60 ,53.60 ,-0.20 (-0.37 %),"17,200 ","916,000,000 ",0 ,0 ,53.30 ,53.90 ,53.10 
4,20/12/2021,53.80 ,53.80 ,-1.00 (-1.82 %),"20,800 ","1,116,000,000 ",0 ,0 ,54.60 ,54.60 ,53.40 
5,17/12/2021,54.80 ,54.80 ,0.50 (0.92 %),"4,800 ","260,000,000 ",0 ,0 ,54.30 ,54.80 ,54.00 
6,16/12/2021,54.30 ,54.30 ,-0.70 (-1.27 %),"31,200 ","1,711,000,000 ",0 ,0 ,55.90 ,55.90 ,54.30 
7,15/12/2021,55.00 ,55.00 ,1.20 (2.23 %),"68,300 ","3,736,000,000 ",0 ,0 ,53.60 ,56.00 ,53.60 
8,14/12/2021,53.80 ,53.80 ,0.10 (0.19 %),"11,000 ","590,000,000 ",0 ,0 ,54.50 ,54.50 ,53.30 
9,13/12/2021,53.70 ,53.70 ,-0.60 (-1.10 %),"53,700 ","2,855,000,000 ",0 ,0 ,55.00 ,55.00 ,53.00 
10,10/12/2021,54.30 ,54.30 ,0.00 (0.00 %),"6,100 ","328,000,000 ",0 ,0 ,54.30 ,54.30 ,53.00 
11,09/12/2021,54.30 ,54.30 ,0.30 (0.56 %),"11,500 ","621,000,000 ",0 ,0 ,54.00 ,54.40 ,53.20 
12,08/12/2021,54.00 ,54.00 ,-1.00 (-1.82 %),"13,400 ","728,000,000 ",0 ,0 ,55.00 ,55.90 ,54.00 
13,07/12/2021,55.00 ,55.00 ,1.50 (2.80 %),"67,000 ","3,652,000,000 ",0 ,0 ,53.90 ,55.20 ,53.80 
14,06/12/2021,53.50 ,53.50 ,0.50 (0.94 %),"27,200 ","1,441,000,000 ",0 ,0 ,53.00 ,54.50 ,52.40 
15,03/12/2021,53.00 ,53.00 ,-1.50 (-2.75 %),"21,100 ","1,135,000,000 ",0 ,0 ,55.80 ,55.80 ,53.00 
16,02/12/2021,54.50 ,54.50 ,-0.30 (-0.55 %),"32,500 ","1,753,000,000 ",0 ,0 ,53.00 ,54.50 ,53.00 
17,01/12/2021,54.80 ,54.80 ,-1.10 (-1.97 %),"30,200 ","1,630,000,000 ",0 ,0 ,53.40 ,55.00 ,53.40 
18,30/11/2021,55.90 ,55.90 ,-0.10 (-0.18 %),"36,700 ","2,037,000,000 ",0 ,0 ,56.40 ,56.40 ,53.10 
19,29/11/2021,56.00 ,56.00 ,2.70 (5.07 %),"106,200 ","5,945,000,000 ",0 ,0 ,56.00 ,56.50 ,55.70 
20,26/11/2021,53.30 ,53.30 ,0.80 (1.52 %),"73,000 ","3,836,000,000 ",0 ,0 ,52.60 ,53.40 ,52.10 
21,25/11/2021,52.50 ,52.50 ,-1.30 (-2.42 %),"35,200 ","1,856,000,000 ",0 ,0 ,53.50 ,53.70 ,52.50 
22,24/11/2021,53.80 ,53.80 ,0.00 (0.00 %),"25,700 ","1,368,000,000 ",0 ,0 ,53.60 ,53.80 ,52.30 
23,23/11/2021,53.80 ,53.80 ,-0.20 (-0.37 %),"21,800 ","1,147,000,000 ",0 ,0 ,52.00 ,53.90 ,52.00 
24,22/11/2021,54.00 ,54.00 ,2.30 (4.45 %),"52,700 ","2,746,000,000 ",0 ,0 ,52.00 ,54.70 ,49.70 
25,19/11/2021,51.70 ,51.70 ,-3.80 (-6.85 %),"76,700 ","4,128,000,000 ",0 ,0 ,55.50 ,55.50 ,51.70 
26,18/11/2021,55.50 ,55.50 ,-1.50 (-2.63 %),"191,800 ","10,728,000,000 ",0 ,0 ,57.70 ,57.70 ,55.40 
27,17/11/2021,57.00 ,57.00 ,0.00 (0.00 %),"12,300 ","703,000,000 ",0 ,0 ,57.10 ,58.00 ,57.00 
28,16/11/2021,57.00 ,57.00 ,0.20 (0.35 %),"20,100 ","1,148,000,000 ",0 ,0 ,56.80 ,57.80 ,56.80 
29,15/11/2021,56.80 ,56.80 ,-1.30 (-2.24 %),"88,900 ","5,080,000,000 ",0 ,0 ,58.10 ,58.10 ,56.80 
