,Ngày,Giá điều chỉnh,Giá đóng cửa,thay đổi,KL1,GT1,KL2,GT2,Giá mở cửa,Giá cao nhất,Giá thấp nhất
0,28/12/2021,26.50 ,26.50 ,-0.70 (-2.57 %),"480,700 ","12,767,000,000 ",0 ,0 ,26.60 ,26.80 ,26.45 
1,27/12/2021,27.20 ,27.20 ,-0.60 (-2.16 %),"363,400 ","9,763,000,000 ",0 ,0 ,27.95 ,27.95 ,26.50 
2,24/12/2021,27.80 ,27.80 ,1.80 (6.92 %),"667,800 ","17,914,000,000 ",0 ,0 ,26.10 ,27.80 ,25.70 
3,23/12/2021,26.00 ,26.00 ,0.30 (1.17 %),"488,200 ","12,631,000,000 ",0 ,0 ,25.50 ,26.65 ,25.50 
4,22/12/2021,25.65 ,25.65 ,-1.15 (-4.29 %),"1,251,000 ","32,306,000,000 ",0 ,0 ,26.85 ,26.90 ,25.50 
5,21/12/2021,26.80 ,26.80 ,-1.90 (-6.62 %),"1,244,800 ","34,007,000,000 ",0 ,0 ,28.00 ,28.50 ,26.70 
6,20/12/2021,28.70 ,28.70 ,-0.30 (-1.03 %),"394,100 ","11,322,000,000 ",0 ,0 ,29.40 ,29.40 ,28.50 
7,17/12/2021,29.00 ,29.00 ,-0.40 (-1.36 %),"755,900 ","22,098,000,000 ",0 ,0 ,29.60 ,29.60 ,29.00 
8,16/12/2021,29.40 ,29.40 ,1.40 (5.00 %),"1,814,400 ","52,283,000,000 ",0 ,0 ,28.00 ,29.50 ,27.30 
9,15/12/2021,28.00 ,28.00 ,-0.20 (-0.71 %),"473,500 ","13,235,000,000 ",0 ,0 ,27.70 ,28.40 ,27.70 
10,14/12/2021,28.20 ,28.20 ,-0.30 (-1.05 %),"1,032,300 ","29,487,000,000 ",0 ,0 ,28.50 ,29.20 ,28.00 
11,13/12/2021,28.50 ,28.50 ,1.60 (5.95 %),"1,554,500 ","43,573,000,000 ",0 ,0 ,27.80 ,28.50 ,27.10 
12,10/12/2021,26.90 ,26.90 ,1.75 (6.96 %),"1,156,700 ","30,724,000,000 ",0 ,0 ,25.15 ,26.90 ,25.10 
13,09/12/2021,25.15 ,25.15 ,0.00 (0.00 %),"155,000 ","3,898,000,000 ",0 ,0 ,25.15 ,25.30 ,25.00 
14,08/12/2021,25.15 ,25.15 ,0.05 (0.20 %),"269,900 ","6,783,000,000 ",0 ,0 ,25.40 ,25.40 ,25.00 
15,07/12/2021,25.10 ,25.10 ,0.40 (1.62 %),"245,900 ","6,150,000,000 ",0 ,0 ,25.00 ,25.50 ,24.55 
16,06/12/2021,24.70 ,24.70 ,-0.40 (-1.59 %),"313,100 ","7,894,000,000 ",0 ,0 ,25.45 ,25.60 ,24.65 
17,03/12/2021,25.10 ,25.10 ,0.45 (1.83 %),"339,400 ","8,481,000,000 ",0 ,0 ,25.00 ,26.00 ,24.40 
18,02/12/2021,24.65 ,24.65 ,0.05 (0.20 %),"184,300 ","4,553,000,000 ",0 ,0 ,24.60 ,24.80 ,24.60 
19,01/12/2021,24.60 ,24.60 ,-0.50 (-1.99 %),"286,800 ","7,090,000,000 ",0 ,0 ,25.10 ,25.45 ,24.60 
20,30/11/2021,25.10 ,25.10 ,-0.20 (-0.79 %),"416,000 ","10,514,000,000 ",0 ,0 ,25.15 ,25.65 ,25.00 
21,29/11/2021,25.30 ,25.30 ,-0.30 (-1.17 %),"350,300 ","8,822,000,000 ",0 ,0 ,25.00 ,25.35 ,25.00 
22,26/11/2021,25.60 ,25.60 ,-0.15 (-0.58 %),"478,100 ","12,208,000,000 ",0 ,0 ,25.75 ,25.75 ,25.10 
23,25/11/2021,25.75 ,25.75 ,0.15 (0.59 %),"289,300 ","7,423,000,000 ","180,000 ","4,293,000,000 ",25.40 ,26.10 ,25.35 
24,24/11/2021,25.60 ,25.60 ,1.10 (4.49 %),"500,300 ","12,862,000,000 ",0 ,0 ,26.00 ,26.00 ,25.25 
25,23/11/2021,24.50 ,24.50 ,1.60 (6.99 %),"290,500 ","6,985,000,000 ",0 ,0 ,22.90 ,24.50 ,22.55 
26,22/11/2021,22.90 ,22.90 ,-0.95 (-3.98 %),"957,300 ","22,101,000,000 ",0 ,0 ,22.55 ,23.90 ,22.55 
27,19/11/2021,23.85 ,23.85 ,-1.75 (-6.84 %),"830,400 ","20,361,000,000 ",0 ,0 ,25.20 ,25.25 ,23.85 
28,18/11/2021,25.60 ,25.60 ,-0.30 (-1.16 %),"467,100 ","11,947,000,000 ",0 ,0 ,25.80 ,26.20 ,25.15 
29,17/11/2021,25.90 ,25.90 ,-0.55 (-2.08 %),"364,700 ","9,414,000,000 ",0 ,0 ,26.10 ,26.20 ,25.60 
30,16/11/2021,26.45 ,26.45 ,0.75 (2.92 %),"518,300 ","13,675,000,000 ",0 ,0 ,26.00 ,27.20 ,25.70 
31,15/11/2021,25.70 ,25.70 ,0.45 (1.78 %),"575,500 ","14,839,000,000 ",0 ,0 ,25.00 ,26.50 ,25.00 
32,12/11/2021,25.25 ,25.25 ,-1.35 (-5.08 %),"1,847,000 ","46,610,000,000 ",0 ,0 ,26.00 ,26.40 ,24.80 
33,11/11/2021,26.60 ,26.60 ,-1.05 (-3.80 %),"1,335,300 ","35,995,000,000 ",0 ,0 ,27.60 ,27.65 ,26.40 
34,10/11/2021,27.65 ,27.65 ,-0.15 (-0.54 %),"396,100 ","10,976,000,000 ",0 ,0 ,27.80 ,28.00 ,27.55 
35,09/11/2021,27.80 ,27.80 ,-0.10 (-0.36 %),"490,100 ","13,725,000,000 ",0 ,0 ,27.50 ,28.50 ,27.50 
36,08/11/2021,27.90 ,27.90 ,0.30 (1.09 %),"559,100 ","15,382,000,000 ",0 ,0 ,27.40 ,28.20 ,27.35 
37,05/11/2021,27.60 ,27.60 ,-0.55 (-1.95 %),"523,800 ","14,457,000,000 ",0 ,0 ,28.10 ,28.10 ,27.50 
38,04/11/2021,28.15 ,28.15 ,-0.65 (-2.26 %),"726,600 ","20,311,000,000 ",0 ,0 ,28.70 ,28.70 ,27.70 
39,03/11/2021,28.80 ,28.80 ,-0.05 (-0.17 %),"1,009,800 ","28,972,000,000 ",0 ,0 ,29.00 ,29.40 ,28.00 
40,02/11/2021,28.85 ,28.85 ,0.35 (1.23 %),"799,000 ","22,902,000,000 ",0 ,0 ,28.50 ,29.00 ,28.30 
41,01/11/2021,28.50 ,28.50 ,1.00 (3.64 %),"953,400 ","26,691,000,000 ",0 ,0 ,27.50 ,28.60 ,27.35 
42,29/10/2021,27.50 ,27.50 ,-0.30 (-1.08 %),"689,700 ","19,038,000,000 ",0 ,0 ,28.10 ,28.10 ,27.40 
43,28/10/2021,27.80 ,27.80 ,0.30 (1.09 %),"568,200 ","15,875,000,000 ",0 ,0 ,27.50 ,28.20 ,27.50 
44,27/10/2021,27.50 ,27.50 ,-0.35 (-1.26 %),"695,500 ","19,220,000,000 ",0 ,0 ,27.90 ,27.90 ,27.50 
45,26/10/2021,27.85 ,27.85 ,-0.05 (-0.18 %),"449,200 ","12,530,000,000 ","40,000 ","1,038,000,000 ",28.20 ,28.35 ,27.60 
46,25/10/2021,27.90 ,27.90 ,0.50 (1.82 %),"674,400 ","18,783,000,000 ","199,000 ","5,074,500,000 ",27.00 ,29.00 ,27.00 
47,22/10/2021,27.40 ,27.40 ,-0.65 (-2.32 %),"1,011,200 ","27,872,000,000 ",0 ,0 ,28.05 ,28.05 ,27.00 
48,21/10/2021,28.05 ,28.05 ,-1.55 (-5.24 %),"1,624,200 ","46,192,000,000 ",0 ,0 ,29.30 ,29.45 ,27.85 
49,20/10/2021,29.60 ,29.60 ,-0.40 (-1.33 %),"509,500 ","15,138,000,000 ",0 ,0 ,30.00 ,30.05 ,29.30 
50,19/10/2021,30.00 ,30.00 ,-0.10 (-0.33 %),"491,700 ","14,674,000,000 ",0 ,0 ,30.00 ,30.20 ,29.10 
51,18/10/2021,30.10 ,30.10 ,-0.10 (-0.33 %),"646,200 ","19,307,000,000 ",0 ,0 ,30.50 ,30.50 ,29.65 
52,15/10/2021,30.20 ,30.20 ,-0.45 (-1.47 %),"1,000,300 ","30,224,000,000 ",0 ,0 ,30.65 ,30.65 ,29.75 
53,14/10/2021,30.65 ,30.65 ,0.35 (1.16 %),"694,800 ","21,170,000,000 ",0 ,0 ,30.70 ,30.85 ,30.10 
54,13/10/2021,30.30 ,30.30 ,1.70 (5.94 %),"982,600 ","29,047,000,000 ",0 ,0 ,28.65 ,30.30 ,28.65 
55,12/10/2021,28.60 ,28.60 ,-0.50 (-1.72 %),"1,077,200 ","31,030,000,000 ","20,000 ","542,000,000 ",28.80 ,29.25 ,28.55 
56,11/10/2021,29.10 ,29.10 ,-0.40 (-1.36 %),"929,400 ","27,265,000,000 ",0 ,0 ,29.50 ,29.80 ,29.00 
57,08/10/2021,29.50 ,29.50 ,0.65 (2.25 %),"1,241,000 ","36,561,000,000 ",0 ,0 ,28.90 ,30.55 ,28.40 
58,07/10/2021,28.85 ,28.85 ,1.85 (6.85 %),"1,618,900 ","45,318,000,000 ",0 ,0 ,27.50 ,28.85 ,27.25 
59,06/10/2021,27.00 ,27.00 ,0.80 (3.05 %),"1,650,300 ","42,749,000,000 ",0 ,0 ,26.00 ,27.00 ,24.80 
60,05/10/2021,26.20 ,26.20 ,-1.05 (-3.85 %),"1,541,300 ","40,844,000,000 ",0 ,0 ,27.25 ,27.40 ,25.85 
61,04/10/2021,27.25 ,27.25 ,0.05 (0.18 %),"603,300 ","16,492,000,000 ","20,000 ","506,000,000 ",27.95 ,27.95 ,27.10 
62,01/10/2021,27.20 ,27.20 ,0.25 (0.93 %),"726,000 ","19,662,000,000 ","409,044 ","10,267,004,400 ",26.95 ,27.45 ,26.50 
63,30/09/2021,26.95 ,26.95 ,0.95 (3.65 %),"991,500 ","26,352,000,000 ","20,000 ","484,000,000 ",26.00 ,27.20 ,26.00 
64,29/09/2021,26.00 ,26.00 ,-0.30 (-1.14 %),"519,100 ","13,451,000,000 ",0 ,0 ,26.25 ,26.30 ,25.60 
65,28/09/2021,26.30 ,26.30 ,-0.15 (-0.57 %),"955,700 ","24,770,000,000 ",0 ,0 ,26.00 ,26.30 ,25.00 
66,27/09/2021,26.45 ,26.45 ,0.70 (2.72 %),"1,210,400 ","31,901,000,000 ",0 ,0 ,25.95 ,26.60 ,25.85 
67,24/09/2021,25.75 ,25.75 ,0.80 (3.21 %),"939,800 ","23,986,000,000 ",0 ,0 ,25.00 ,25.80 ,24.95 
68,23/09/2021,24.95 ,24.95 ,0.65 (2.67 %),"1,255,700 ","31,294,000,000 ",0 ,0 ,24.50 ,25.90 ,24.45 
69,22/09/2021,24.30 ,24.30 ,0.20 (0.83 %),"460,900 ","11,109,000,000 ",0 ,0 ,24.25 ,24.35 ,23.75 
70,21/09/2021,24.10 ,24.10 ,-0.25 (-1.03 %),"811,300 ","19,390,000,000 ",0 ,0 ,23.60 ,24.35 ,23.60 
71,20/09/2021,24.35 ,24.35 ,0.05 (0.21 %),"879,700 ","21,370,000,000 ",0 ,0 ,24.60 ,24.60 ,24.00 
72,17/09/2021,24.30 ,24.30 ,0.80 (3.40 %),"623,600 ","15,059,000,000 ",0 ,0 ,23.60 ,24.45 ,23.60 
73,16/09/2021,23.50 ,23.50 ,0.20 (0.86 %),"691,500 ","15,912,000,000 ","23,000 ","499,100,000 ",23.50 ,23.65 ,22.00 
74,15/09/2021,23.30 ,23.30 ,0.70 (3.10 %),"865,900 ","20,242,000,000 ",0 ,0 ,23.20 ,24.00 ,22.70 
75,14/09/2021,22.60 ,22.60 ,1.45 (6.86 %),"1,099,500 ","24,241,000,000 ",0 ,0 ,21.20 ,22.60 ,21.15 
76,13/09/2021,21.15 ,21.15 ,0.70 (3.42 %),"903,300 ","19,012,000,000 ","93,000 ","1,771,650,000 ",20.70 ,21.20 ,20.70 
77,10/09/2021,20.45 ,20.45 ,0.10 (0.49 %),"556,200 ","11,329,000,000 ","55,000 ","1,042,250,000 ",20.45 ,20.45 ,20.25 
78,09/09/2021,20.35 ,20.35 ,0.05 (0.25 %),"587,700 ","11,908,000,000 ","61,000 ","1,152,900,000 ",20.30 ,20.45 ,20.00 
