,Ngày,Giá điều chỉnh,Giá đóng cửa,thay đổi,KL1,GT1,KL2,GT2,Giá mở cửa,Giá cao nhất,Giá thấp nhất
0,23/12/2021,21.00 ,21.00 ,0.30 (1.45 %),"665,100 ","13,349,000,000 ",0 ,0 ,20.05 ,21.10 ,19.30 
1,22/12/2021,20.70 ,20.70 ,1.00 (5.08 %),"1,361,100 ","28,318,000,000 ",0 ,0 ,20.05 ,21.00 ,20.05 
2,21/12/2021,19.65 ,19.65 ,1.25 (6.79 %),"2,881,100 ","54,744,000,000 ",0 ,0 ,18.30 ,19.65 ,17.30 
3,20/12/2021,18.40 ,18.40 ,0.00 (0.00 %),"368,600 ","6,728,000,000 ",0 ,0 ,18.40 ,19.10 ,17.75 
4,17/12/2021,18.40 ,18.40 ,0.00 (0.00 %),"868,700 ","15,912,000,000 ",0 ,0 ,18.40 ,18.70 ,18.00 
5,16/12/2021,18.40 ,18.40 ,0.55 (3.08 %),"1,243,800 ","22,481,000,000 ",0 ,0 ,17.85 ,18.80 ,17.10 
6,15/12/2021,17.85 ,17.85 ,0.25 (1.42 %),"1,434,800 ","25,442,000,000 ",0 ,0 ,17.20 ,18.25 ,16.80 
7,14/12/2021,17.60 ,17.60 ,-0.35 (-1.95 %),"1,319,100 ","22,994,000,000 ",0 ,0 ,18.00 ,18.00 ,17.10 
8,13/12/2021,17.95 ,17.95 ,0.85 (4.97 %),"1,633,600 ","28,623,000,000 ",0 ,0 ,16.90 ,18.00 ,16.90 
9,10/12/2021,17.10 ,17.10 ,-0.30 (-1.72 %),"731,500 ","12,495,000,000 ",0 ,0 ,16.50 ,17.40 ,16.50 
10,09/12/2021,17.40 ,17.40 ,0.60 (3.57 %),"746,400 ","12,611,000,000 ",0 ,0 ,16.70 ,17.40 ,16.40 
11,08/12/2021,16.80 ,16.80 ,0.15 (0.90 %),"1,139,900 ","18,883,000,000 ",0 ,0 ,16.90 ,16.90 ,16.20 
12,07/12/2021,16.65 ,16.65 ,0.15 (0.91 %),"756,000 ","12,359,000,000 ",0 ,0 ,16.50 ,17.20 ,15.60 
13,06/12/2021,16.50 ,16.50 ,-0.60 (-3.51 %),"754,100 ","12,315,000,000 ",0 ,0 ,17.20 ,17.60 ,15.95 
14,03/12/2021,17.10 ,17.10 ,-1.00 (-5.52 %),"1,245,400 ","22,266,000,000 ",0 ,0 ,18.10 ,18.20 ,16.85 
15,02/12/2021,18.10 ,18.10 ,-0.05 (-0.28 %),"787,500 ","14,575,000,000 ",0 ,0 ,19.40 ,19.40 ,17.50 
