,Ngày,Giá điều chỉnh,Giá đóng cửa,thay đổi,KL1,GT1,KL2,GT2,Giá mở cửa,Giá cao nhất,Giá thấp nhất
0,24/12/2021,93.80 ,93.80 ,0.60 (0.64 %),"1,186,700 ","110,897,000,000 ","37,400 ","3,242,580,000 ",93.50 ,94.50 ,92.80 
1,23/12/2021,93.20 ,93.20 ,-1.80 (-1.89 %),"1,930,300 ","181,409,000,000 ","1,717,558 ","174,503,892,800 ",95.00 ,95.00 ,93.00 
2,22/12/2021,95.00 ,95.00 ,-0.20 (-0.21 %),"1,670,500 ","158,675,000,000 ","536,000 ","54,564,800,000 ",95.00 ,95.40 ,94.60 
3,21/12/2021,95.20 ,95.20 ,-0.60 (-0.63 %),"1,112,300 ","106,071,000,000 ","599,418 ","61,440,345,000 ",95.70 ,95.90 ,95.10 
4,20/12/2021,95.80 ,95.80 ,-0.60 (-0.62 %),"1,019,800 ","97,755,000,000 ","812,300 ","81,547,810,000 ",96.50 ,96.50 ,95.50 
5,17/12/2021,96.40 ,96.40 ,0.90 (0.94 %),"1,152,100 ","110,705,000,000 ","236,000 ","22,130,400,000 ",95.60 ,97.00 ,95.50 
6,16/12/2021,95.50 ,95.50 ,-0.40 (-0.42 %),"1,245,000 ","119,938,000,000 ","518,600 ","53,208,360,000 ",97.50 ,97.50 ,95.50 
7,15/12/2021,95.90 ,95.90 ,0.20 (0.21 %),"808,400 ","77,578,000,000 ","2,119,100 ","216,668,930,000 ",95.70 ,96.30 ,95.60 
8,14/12/2021,95.70 ,95.70 ,-0.30 (-0.31 %),"1,144,500 ","109,500,000,000 ","1,031,000 ","100,681,200,000 ",96.00 ,96.40 ,95.40 
9,13/12/2021,96.00 ,96.00 ,0.20 (0.21 %),"900,200 ","86,323,000,000 ","173,604 ","15,480,616,400 ",96.50 ,96.50 ,95.60 
10,10/12/2021,95.80 ,95.80 ,-1.20 (-1.24 %),"1,160,000 ","111,622,000,000 ","464,900 ","48,210,130,000 ",96.40 ,97.00 ,95.40 
11,09/12/2021,97.00 ,97.00 ,1.40 (1.46 %),"993,100 ","95,527,000,000 ","176,000 ","16,620,000,000 ",95.10 ,97.00 ,95.10 
12,08/12/2021,95.60 ,95.60 ,-0.40 (-0.42 %),"1,064,800 ","102,005,000,000 ","85,500 ","7,982,850,000 ",96.50 ,96.50 ,95.00 
13,07/12/2021,96.00 ,96.00 ,1.50 (1.59 %),"1,451,000 ","137,836,000,000 ",0 ,0 ,95.00 ,96.00 ,94.50 
14,06/12/2021,94.50 ,94.50 ,-1.00 (-1.05 %),"2,393,800 ","227,790,000,000 ","824,100 ","84,140,610,000 ",95.50 ,96.50 ,94.20 
15,03/12/2021,95.50 ,95.50 ,-1.70 (-1.75 %),"2,009,700 ","194,249,000,000 ",0 ,0 ,97.80 ,97.80 ,95.50 
16,02/12/2021,97.20 ,97.20 ,-1.00 (-1.02 %),"952,900 ","93,098,000,000 ","209,995 ","22,049,475,000 ",97.60 ,98.30 ,97.20 
17,01/12/2021,98.20 ,98.20 ,1.10 (1.13 %),"1,254,900 ","122,051,000,000 ",0 ,0 ,97.50 ,98.60 ,96.70 
18,30/11/2021,97.10 ,97.10 ,-1.00 (-1.02 %),"2,563,100 ","250,667,000,000 ","20,000 ","2,098,000,000 ",98.10 ,98.50 ,97.00 
19,29/11/2021,98.10 ,98.10 ,-0.80 (-0.81 %),"1,993,000 ","195,439,000,000 ","874,500 ","92,522,100,000 ",97.50 ,98.90 ,97.50 
20,26/11/2021,98.90 ,98.90 ,-1.10 (-1.10 %),"1,996,200 ","198,608,000,000 ",0 ,0 ,100.10 ,100.80 ,98.80 
21,25/11/2021,100.00 ,100.00 ,2.10 (2.15 %),"5,487,400 ","551,008,000,000 ","681,800 ","71,384,460,000 ",98.50 ,101.80 ,98.30 
22,24/11/2021,97.90 ,97.90 ,1.30 (1.35 %),"2,445,600 ","238,083,000,000 ","461,117 ","47,633,386,100 ",96.70 ,98.40 ,96.40 
23,23/11/2021,96.60 ,96.60 ,1.60 (1.68 %),"1,150,800 ","110,035,000,000 ","1,462,375 ","132,006,350,000 ",95.00 ,96.60 ,94.90 
24,22/11/2021,95.00 ,95.00 ,-0.30 (-0.31 %),"1,670,100 ","159,271,000,000 ","200,000 ","20,360,000,000 ",95.50 ,96.00 ,95.00 
25,19/11/2021,95.30 ,95.30 ,-1.20 (-1.24 %),"2,481,300 ","238,999,000,000 ","743,500 ","76,729,200,000 ",97.50 ,97.80 ,95.10 
26,18/11/2021,96.50 ,96.50 ,-1.80 (-1.83 %),"2,005,000 ","195,477,000,000 ","837,000 ","87,245,500,000 ",98.30 ,98.70 ,96.50 
27,17/11/2021,98.30 ,98.30 ,0.00 (0.00 %),"1,186,200 ","116,525,000,000 ","1,010,400 ","105,099,540,000 ",98.30 ,98.40 ,98.00 
28,16/11/2021,98.30 ,98.30 ,1.00 (1.03 %),"3,506,200 ","344,061,000,000 ","600,000 ","61,110,000,000 ",97.30 ,99.50 ,96.80 
29,15/11/2021,97.30 ,97.30 ,-0.70 (-0.71 %),"1,908,900 ","186,830,000,000 ","85,900 ","9,002,320,000 ",98.50 ,98.50 ,97.30 
30,12/11/2021,98.00 ,98.00 ,2.00 (2.08 %),"2,240,300 ","217,458,000,000 ","131,000 ","13,445,600,000 ",96.20 ,98.20 ,95.90 
31,11/11/2021,96.00 ,96.00 ,-1.00 (-1.03 %),"2,122,200 ","204,978,000,000 ","541,300 ","56,122,810,000 ",97.00 ,98.00 ,95.80 
32,10/11/2021,97.00 ,97.00 ,0.60 (0.62 %),"1,592,400 ","153,159,000,000 ","335,200 ","34,049,920,000 ",96.40 ,97.00 ,95.90 
33,09/11/2021,96.40 ,96.40 ,-1.00 (-1.03 %),"1,845,900 ","178,755,000,000 ","281,600 ","28,254,620,000 ",97.50 ,97.60 ,96.00 
34,08/11/2021,97.40 ,97.40 ,-0.20 (-0.20 %),"1,687,900 ","165,092,000,000 ","102,000 ","9,271,800,000 ",97.60 ,98.50 ,97.30 
35,05/11/2021,97.60 ,97.60 ,1.60 (1.67 %),"2,169,900 ","210,444,000,000 ","38,000 ","3,902,600,000 ",96.20 ,97.80 ,96.00 
36,04/11/2021,96.00 ,96.00 ,-0.10 (-0.10 %),"1,761,300 ","169,253,000,000 ","279,700 ","27,383,160,000 ",96.10 ,96.80 ,95.70 
37,03/11/2021,96.10 ,96.10 ,0.00 (0.00 %),"2,680,100 ","257,067,000,000 ","102,000 ","10,475,400,000 ",96.20 ,96.70 ,95.20 
38,02/11/2021,96.10 ,96.10 ,0.30 (0.31 %),"2,109,100 ","202,682,000,000 ","50,000 ","5,125,000,000 ",95.50 ,97.00 ,95.50 
39,01/11/2021,95.80 ,95.80 ,-1.10 (-1.14 %),"2,855,800 ","275,391,000,000 ","425,700 ","42,564,220,000 ",97.40 ,97.40 ,95.60 
40,29/10/2021,96.90 ,96.90 ,-1.10 (-1.12 %),"2,382,700 ","231,612,000,000 ","326,400 ","32,424,720,000 ",98.00 ,98.00 ,96.90 
41,28/10/2021,98.00 ,98.00 ,-0.20 (-0.20 %),"1,644,700 ","160,565,000,000 ","39,700 ","4,168,500,000 ",98.20 ,98.40 ,97.20 
42,27/10/2021,98.20 ,98.20 ,1.30 (1.34 %),"2,326,700 ","226,706,000,000 ","8,620,000 ","779,499,140,000 ",96.80 ,98.20 ,96.50 
43,26/10/2021,96.90 ,96.90 ,2.00 (2.11 %),"1,855,700 ","177,421,000,000 ","182,000 ","18,069,800,000 ",95.00 ,96.90 ,94.30 
44,25/10/2021,94.90 ,94.90 ,-1.30 (-1.35 %),"2,938,500 ","280,639,000,000 ","657,925 ","67,700,482,500 ",96.20 ,96.20 ,94.90 
45,22/10/2021,96.20 ,96.20 ,-0.50 (-0.52 %),"2,023,400 ","195,509,000,000 ","778,500 ","79,424,920,000 ",97.00 ,97.40 ,96.10 
46,21/10/2021,96.70 ,96.70 ,-0.90 (-0.92 %),"2,283,600 ","222,088,000,000 ","132,000 ","12,316,800,000 ",98.40 ,98.50 ,96.70 
47,20/10/2021,97.60 ,97.60 ,-1.00 (-1.01 %),"2,248,600 ","220,796,000,000 ",0 ,0 ,98.70 ,99.50 ,96.60 
