,Ngày,Giá điều chỉnh,Giá đóng cửa,thay đổi,KL1,GT1,KL2,GT2,Giá mở cửa,Giá cao nhất,Giá thấp nhất
0,23/12/2021,44.95 ,44.95 ,-0.15 (-0.33 %),"26,674,000 ","1,187,383,000,000 ","2,080,900 ","97,151,825,000 ",45.10 ,45.10 ,44.10 
1,22/12/2021,45.10 ,45.10 ,-1.00 (-2.17 %),"24,665,900 ","1,124,786,000,000 ","2,927,900 ","128,486,790,000 ",46.30 ,46.50 ,45.10 
2,21/12/2021,46.10 ,46.10 ,-0.80 (-1.71 %),"17,094,400 ","791,913,000,000 ","822,400 ","37,589,200,000 ",46.90 ,46.95 ,46.10 
3,20/12/2021,46.90 ,46.90 ,0.20 (0.43 %),"9,986,400 ","467,793,000,000 ","2,537,700 ","112,219,915,000 ",46.70 ,47.35 ,46.50 
4,17/12/2021,46.70 ,46.70 ,-0.80 (-1.68 %),"22,015,600 ","1,032,160,000,000 ","946,400 ","43,636,580,000 ",47.35 ,47.55 ,46.60 
5,16/12/2021,47.50 ,47.50 ,-0.30 (-0.63 %),"11,030,000 ","525,165,000,000 ","785,000 ","40,103,500,000 ",48.10 ,48.10 ,47.30 
6,15/12/2021,47.80 ,47.80 ,0.10 (0.21 %),"9,045,500 ","434,846,000,000 ","2,342,295 ","111,269,938,000 ",48.00 ,48.60 ,47.70 
7,14/12/2021,47.70 ,47.70 ,1.15 (2.47 %),"35,676,800 ","1,714,439,000,000 ","2,075,468 ","93,400,314,400 ",46.55 ,49.10 ,46.20 
8,13/12/2021,46.55 ,46.55 ,0.05 (0.11 %),"14,309,600 ","668,131,000,000 ","2,813,418 ","122,867,986,980 ",46.55 ,47.15 ,46.30 
9,10/12/2021,46.50 ,46.50 ,-0.60 (-1.27 %),"19,427,400 ","909,537,000,000 ","1,210,000 ","53,058,500,000 ",47.05 ,47.20 ,46.40 
10,09/12/2021,47.10 ,47.10 ,-0.10 (-0.21 %),"10,320,400 ","485,392,000,000 ","2,334,800 ","104,502,805,000 ",46.90 ,47.30 ,46.80 
11,08/12/2021,47.20 ,47.20 ,-0.40 (-0.84 %),"11,108,800 ","526,101,000,000 ","1,230,000 ","55,397,000,000 ",47.90 ,47.90 ,47.05 
12,07/12/2021,47.60 ,47.60 ,1.85 (4.04 %),"21,935,200 ","1,026,791,000,000 ","592,200 ","25,421,110,000 ",46.45 ,47.60 ,46.00 
13,06/12/2021,45.75 ,45.75 ,-1.95 (-4.09 %),"34,633,900 ","1,615,415,000,000 ","60,000 ","3,000,000,000 ",47.50 ,47.95 ,45.50 
