,Ngày,Giá điều chỉnh,Giá đóng cửa,thay đổi,KL1,GT1,KL2,GT2,Giá mở cửa,Giá cao nhất,Giá thấp nhất
0,28/12/2021,74.00 ,74.00 ,2.20 (3.06 %),"2,978,371 ","221,158,353,700 ","235,000 ","16,215,000,000 ",71.80 ,71.90 ,76.30 
1,27/12/2021,71.80 ,71.80 ,0.40 (0.56 %),"1,641,324 ","117,511,426,400 ","1,680,000 ","126,160,000,000 ",71.40 ,71.5 ,72.50 
2,24/12/2021,71.40 ,71.40 ,1.40 (2.00 %),"4,403,798 ","307,424,655,800 ","120,000 ","8,400,000,000 ",70.00 ,69.00 ,74.50 
3,23/12/2021,70.00 ,70.00 ,-7.00 (-9.09 %),"4,855,712 ","356,018,219,400 ",0 ,0 ,77.00 ,77.0 ,77.20 
4,22/12/2021,77.00 ,77.00 ,-4.00 (-4.94 %),"4,376,875 ","347,132,129,800 ","70,000 ","5,110,000,000 ",81.00 ,80.80 ,81.70 
5,21/12/2021,81.00 ,81.00 ,-1.00 (-1.22 %),"4,337,740 ","349,874,543,400 ","3,235,000 ","272,250,000,000 ",82.00 ,82.0 ,83.00 
6,20/12/2021,82.00 ,82.00 ,-4.80 (-5.53 %),"4,828,360 ","399,526,281,200 ","1,900,000 ","181,070,000,000 ",86.80 ,86.30 ,87.00 
7,17/12/2021,86.80 ,86.80 ,-0.50 (-0.57 %),"5,080,787 ","439,732,752,200 ",0 ,0 ,87.30 ,87.3 ,88.70 
8,16/12/2021,87.30 ,87.30 ,3.30 (3.93 %),"3,469,917 ","298,324,403,900 ","914,000 ","71,454,000,000 ",84.00 ,84.20 ,88.40 
9,15/12/2021,84.00 ,84.00 ,-4.00 (-4.55 %),"3,396,768 ","288,267,087,600 ","2,014,000 ","194,108,800,000 ",88.00 ,88.0 ,88.10 
10,14/12/2021,88.00 ,88.00 ,-2.70 (-2.98 %),"3,755,988 ","329,336,913,000 ","100,000 ","9,960,000,000 ",90.70 ,90.80 ,91.10 
11,13/12/2021,90.70 ,90.70 ,3.80 (4.37 %),"4,829,260 ","429,291,916,300 ","40,000 ","3,476,000,000 ",86.90 ,87.0 ,92.00 
12,10/12/2021,86.90 ,86.90 ,-3.10 (-3.44 %),"3,595,999 ","311,953,147,300 ","249,000 ","24,627,500,000 ",90.00 ,89.50 ,90.00 
13,09/12/2021,90.00 ,90.00 ,1.30 (1.47 %),"4,034,607 ","361,332,764,300 ",0 ,0 ,88.70 ,89.0 ,91.10 
14,08/12/2021,88.70 ,88.70 ,6.20 (7.52 %),"6,954,681 ","608,396,403,800 ",0 ,0 ,82.50 ,84.00 ,90.70 
15,07/12/2021,82.50 ,82.50 ,7.50 (10.00 %),"5,471,421 ","438,794,184,400 ","434,000 ","31,940,000,000 ",75.00 ,75.0 ,82.50 
