,Ngày,Giá điều chỉnh,Giá đóng cửa,Giá bình quân,thay đổi,KL1,GT1,KL2,GT2,Giá tham chiếu,Giá mở cửa,Giá cao nhất,Giá thấp nhất
0,19/08/2021,17.50 ,17.50 ,17.50 ,0.00 (0.00 %),0 ,0 ,0 ,0 ,17.50 ,17.50 ,17.50 ,17.50 
1,18/08/2021,17.50 ,17.50 ,17.50 ,0.00 (0.00 %),0 ,0 ,0 ,0 ,17.50 ,17.5 ,17.50 ,17.50 
2,17/08/2021,17.50 ,17.50 ,17.50 ,0.00 (0.00 %),0 ,0 ,0 ,0 ,17.50 ,17.50 ,17.50 ,17.50 
3,16/08/2021,17.50 ,17.50 ,17.50 ,0.00 (0.00 %),0 ,0 ,0 ,0 ,17.50 ,17.5 ,17.50 ,17.50 
4,13/08/2021,17.50 ,17.50 ,17.50 ,0.00 (0.00 %),0 ,0 ,0 ,0 ,17.50 ,17.50 ,17.50 ,17.50 
5,12/08/2021,17.50 ,17.50 ,17.50 ,0.00 (0.00 %),0 ,0 ,0 ,0 ,17.50 ,17.5 ,17.50 ,17.50 
6,11/08/2021,17.50 ,17.50 ,17.50 ,0.00 (0.00 %),0 ,0 ,0 ,0 ,17.50 ,17.50 ,17.50 ,17.50 
7,10/08/2021,17.50 ,17.50 ,17.50 ,0.00 (0.00 %),0 ,0 ,0 ,0 ,17.50 ,17.5 ,17.50 ,17.50 
8,09/08/2021,17.50 ,17.50 ,17.50 ,0.00 (0.00 %),0 ,0 ,0 ,0 ,17.50 ,17.50 ,17.50 ,17.50 
9,06/08/2021,17.50 ,17.50 ,17.50 ,0.00 (0.00 %),0 ,0 ,0 ,0 ,17.50 ,17.5 ,17.50 ,17.50 
10,05/08/2021,17.50 ,17.50 ,17.50 ,0.00 (0.00 %),0 ,0 ,0 ,0 ,17.50 ,17.50 ,17.50 ,17.50 
11,04/08/2021,17.50 ,17.50 ,17.50 ,0.00 (0.00 %),0 ,0 ,0 ,0 ,17.50 ,17.5 ,17.50 ,17.50 
12,03/08/2021,17.50 ,17.50 ,17.50 ,0.00 (0.00 %),0 ,0 ,0 ,0 ,17.50 ,17.50 ,17.50 ,17.50 
13,02/08/2021,17.50 ,17.50 ,17.50 ,0.00 (0.00 %),0 ,0 ,0 ,0 ,17.50 ,17.5 ,17.50 ,17.50 
14,30/07/2021,17.50 ,17.50 ,17.50 ,0.00 (0.00 %),0 ,0 ,0 ,0 ,17.50 ,17.50 ,17.50 ,17.50 
15,29/07/2021,17.50 ,17.50 ,17.50 ,0.50 (2.94 %),200 ,"3,500,000 ",0 ,0 ,17.00 ,17.5 ,17.50 ,17.50 
16,28/07/2021,17.00 ,17.00 ,17.00 ,0.00 (0.00 %),0 ,0 ,0 ,0 ,17.00 ,17.00 ,17.00 ,17.00 
17,27/07/2021,17.00 ,17.00 ,17.00 ,0.00 (0.00 %),0 ,0 ,0 ,0 ,17.00 ,17.0 ,17.00 ,17.00 
18,26/07/2021,17.00 ,17.00 ,17.00 ,0.00 (0.00 %),0 ,0 ,0 ,0 ,17.00 ,17.00 ,17.00 ,17.00 
19,23/07/2021,17.00 ,17.00 ,17.00 ,0.00 (0.00 %),0 ,0 ,0 ,0 ,17.00 ,17.0 ,17.00 ,17.00 
20,22/07/2021,17.00 ,17.00 ,17.00 ,0.00 (0.00 %),0 ,0 ,0 ,0 ,17.00 ,17.00 ,17.00 ,17.00 
21,21/07/2021,17.00 ,17.00 ,17.00 ,0.00 (0.00 %),0 ,0 ,0 ,0 ,17.00 ,17.0 ,17.00 ,17.00 
22,20/07/2021,17.00 ,17.00 ,17.00 ,-3.00 (-15.00 %),200 ,"3,400,000 ",0 ,0 ,20.00 ,17.00 ,17.00 ,17.00 
23,19/07/2021,20.00 ,20.00 ,20.00 ,0.00 (0.00 %),0 ,0 ,0 ,0 ,20.00 ,20.0 ,20.00 ,20.00 
24,16/07/2021,20.00 ,20.00 ,20.00 ,0.00 (0.00 %),0 ,0 ,0 ,0 ,20.00 ,20.00 ,20.00 ,20.00 
25,15/07/2021,20.00 ,20.00 ,20.00 ,0.00 (0.00 %),0 ,0 ,0 ,0 ,20.00 ,20.0 ,20.00 ,20.00 
26,14/07/2021,20.00 ,20.00 ,20.00 ,0.00 (0.00 %),0 ,0 ,0 ,0 ,20.00 ,20.00 ,20.00 ,20.00 
27,13/07/2021,20.00 ,20.00 ,20.00 ,0.00 (0.00 %),0 ,0 ,0 ,0 ,20.00 ,20.0 ,20.00 ,20.00 
28,12/07/2021,20.00 ,20.00 ,20.00 ,0.00 (0.00 %),0 ,0 ,0 ,0 ,20.00 ,20.00 ,20.00 ,20.00 
29,09/07/2021,20.00 ,20.00 ,20.00 ,0.00 (0.00 %),200 ,"4,000,000 ",0 ,0 ,20.00 ,20.0 ,20.00 ,20.00 
30,08/07/2021,20.00 ,20.00 ,20.00 ,0.00 (0.00 %),0 ,0 ,0 ,0 ,20.00 ,20.00 ,20.00 ,20.00 
31,07/07/2021,20.00 ,20.00 ,20.00 ,0.00 (0.00 %),0 ,0 ,0 ,0 ,20.00 ,20.0 ,20.00 ,20.00 
32,06/07/2021,20.00 ,20.00 ,20.00 ,0.00 (0.00 %),0 ,0 ,0 ,0 ,20.00 ,20.00 ,20.00 ,20.00 
33,05/07/2021,20.00 ,20.00 ,20.00 ,3.00 (17.65 %),500 ,"10,000,000 ",0 ,0 ,17.00 ,20.0 ,20.00 ,20.00 
