,Ngày,Giá điều chỉnh,Giá đóng cửa,thay đổi,KL1,GT1,KL2,GT2,Giá mở cửa,Giá cao nhất,Giá thấp nhất
0,24/12/2021,17.00 ,17.00 ,17.00 ,  ,"2,193,770 ","37,831,548,000 ",0 ,0 ,16.80 ,16.90 
1,23/12/2021,17.10 ,17.10 ,17.10 ,  ,"4,728,632 ","79,598,126,500 ",0 ,0 ,16.50 ,16.8 
2,21/12/2021,16.60 ,16.60 ,16.60 ,  ,"1,745,524 ","28,912,293,300 ",0 ,0 ,16.60 ,16.60 
3,20/12/2021,16.60 ,16.60 ,16.60 ,  ,"1,416,852 ","23,533,141,400 ",0 ,0 ,17.00 ,16.9 
4,17/12/2021,16.90 ,16.90 ,16.90 ,  ,"5,552,426 ","94,131,078,800 ",0 ,0 ,16.30 ,16.50 
5,16/12/2021,16.40 ,16.40 ,16.40 ,  ,"1,163,741 ","18,954,546,500 ",0 ,0 ,16.20 ,16.5 
6,15/12/2021,16.30 ,16.30 ,16.30 ,  ,"1,047,322 ","16,997,799,600 ",0 ,0 ,16.30 ,16.20 
7,14/12/2021,16.30 ,16.30 ,16.30 ,  ,"1,952,951 ","31,893,427,500 ",0 ,0 ,16.40 ,16.5 
8,13/12/2021,16.50 ,16.50 ,16.50 ,  ,"1,756,067 ","28,755,345,300 ",0 ,0 ,16.30 ,16.40 
9,10/12/2021,16.20 ,16.20 ,16.20 ,  ,"1,467,813 ","23,861,564,600 ","379,600 ","7,079,540,000 ",16.30 ,16.5 
10,09/12/2021,16.40 ,16.40 ,16.40 ,  ,"2,565,345 ","41,771,053,900 ",0 ,0 ,16.00 ,16.00 
11,08/12/2021,15.80 ,15.80 ,15.80 ,  ,"1,214,055 ","19,451,311,000 ",0 ,0 ,15.80 ,16.2 
12,07/12/2021,16.10 ,16.10 ,16.10 ,  ,"2,230,983 ","35,184,560,200 ",0 ,0 ,15.20 ,15.30 
13,06/12/2021,15.10 ,15.10 ,15.10 ,  ,"1,100,033 ","16,735,821,500 ","998,000 ","13,273,400,000 ",15.60 ,15.4 
14,03/12/2021,15.50 ,15.50 ,15.50 ,  ,"1,607,547 ","25,064,972,600 ",0 ,0 ,15.70 ,15.80 
15,02/12/2021,15.80 ,15.80 ,15.80 ,  ,"1,093,490 ","17,133,737,300 ",0 ,0 ,15.50 ,15.8 
16,01/12/2021,15.80 ,15.80 ,15.80 ,  ,"1,532,537 ","23,729,405,400 ","998,000 ","17,764,400,000 ",15.50 ,15.30 
17,30/11/2021,15.50 ,15.50 ,15.50 ,  ,"1,770,610 ","27,391,736,500 ","1,379,600 ","17,834,800,000 ",15.10 ,15.3 
18,29/11/2021,15.30 ,15.30 ,15.30 ,  ,"1,741,347 ","26,325,142,700 ",0 ,0 ,15.70 ,15.00 
19,26/11/2021,15.60 ,15.60 ,15.60 ,  ,"1,574,267 ","24,764,824,200 ","1,000,000 ","13,600,000,000 ",15.90 ,15.9 
20,25/11/2021,16.00 ,16.00 ,16.00 ,  ,"2,098,169 ","33,405,579,300 ","1,000,000 ","18,100,000,000 ",15.90 ,15.90 
21,24/11/2021,15.80 ,15.80 ,15.80 ,  ,"1,310,576 ","20,849,296,800 ",0 ,0 ,15.70 ,16.0 
22,23/11/2021,16.10 ,16.10 ,16.10 ,  ,"1,594,029 ","25,102,196,700 ","1,150,000 ","20,692,500,000 ",15.70 ,15.20 
23,22/11/2021,15.20 ,15.20 ,15.20 ,  ,"4,081,863 ","64,251,783,300 ",0 ,0 ,16.80 ,16.4 
24,19/11/2021,16.50 ,16.50 ,16.50 ,  ,"4,323,405 ","72,653,826,400 ","140,000 ","2,072,000,000 ",17.40 ,17.20 
25,18/11/2021,17.20 ,17.20 ,17.20 ,  ,"3,353,666 ","58,297,661,400 ",0 ,0 ,17.80 ,17.8 
26,17/11/2021,17.90 ,17.90 ,17.90 ,  ,"4,039,516 ","71,897,216,500 ",0 ,0 ,17.30 ,17.40 
27,16/11/2021,17.30 ,17.30 ,17.30 ,  ,"2,510,131 ","43,420,403,300 ","140,000 ","2,058,000,000 ",17.20 ,17.3 
28,15/11/2021,17.30 ,17.30 ,17.30 ,  ,"5,078,597 ","87,166,218,200 ",0 ,0 ,17.40 ,17.40 
29,12/11/2021,17.40 ,17.40 ,17.40 ,  ,"2,368,844 ","41,240,221,100 ",0 ,0 ,17.70 ,17.7 
30,11/11/2021,17.70 ,17.70 ,17.70 ,  ,"3,378,524 ","59,689,853,500 ","140,000 ","2,142,000,000 ",17.90 ,18.10 
31,10/11/2021,18.10 ,18.10 ,18.10 ,  ,"4,471,983 ","80,263,438,500 ","100,000 ","1,480,000,000 ",17.40 ,17.4 
32,09/11/2021,17.40 ,17.40 ,17.40 ,  ,"3,273,086 ","56,922,372,100 ",0 ,0 ,17.70 ,17.80 
