,Ngày,Giá điều chỉnh,Giá đóng cửa,thay đổi,KL1,GT1,KL2,GT2,Giá mở cửa,Giá cao nhất,Giá thấp nhất
0,24/12/2021,54.90 ,54.90 ,-1.10 (-1.96 %),"10,400 ","562,000,000 ","33,000 ","1,749,000,000 ",54.00 ,55.90 ,54.00 
1,23/12/2021,56.00 ,56.00 ,-0.20 (-0.36 %),"6,100 ","342,000,000 ",0 ,0 ,55.80 ,56.20 ,55.80 
2,22/12/2021,56.20 ,56.20 ,-0.20 (-0.35 %),"8,700 ","486,000,000 ",0 ,0 ,56.00 ,56.20 ,55.50 
3,21/12/2021,56.40 ,56.40 ,-0.50 (-0.88 %),"3,800 ","214,000,000 ",0 ,0 ,56.90 ,56.90 ,55.60 
4,20/12/2021,56.90 ,56.90 ,-0.10 (-0.18 %),"3,200 ","181,000,000 ",0 ,0 ,57.10 ,57.10 ,56.10 
5,17/12/2021,56.00 ,57.00 ,0.00 (0.00 %),"8,000 ","455,000,000 ",0 ,0 ,56.60 ,57.00 ,56.60 
6,16/12/2021,56.00 ,57.00 ,0.00 (0.00 %),"20,300 ","1,153,000,000 ",0 ,0 ,56.70 ,57.00 ,56.30 
7,15/12/2021,56.00 ,57.00 ,0.10 (0.18 %),"12,200 ","692,000,000 ",0 ,0 ,56.70 ,57.00 ,56.00 
8,14/12/2021,55.90 ,56.90 ,0.00 (0.00 %),"3,300 ","187,000,000 ",0 ,0 ,56.90 ,56.90 ,56.60 
9,13/12/2021,55.90 ,56.90 ,-0.10 (-0.18 %),"13,200 ","750,000,000 ",0 ,0 ,56.70 ,56.90 ,56.60 
10,10/12/2021,56.00 ,57.00 ,0.20 (0.35 %),"31,700 ","1,797,000,000 ",0 ,0 ,56.70 ,57.00 ,56.30 
11,09/12/2021,55.81 ,56.80 ,-0.20 (-0.35 %),"2,700 ","153,000,000 ",0 ,0 ,56.90 ,56.90 ,56.70 
12,08/12/2021,56.00 ,57.00 ,0.00 (0.00 %),"11,700 ","666,000,000 ",0 ,0 ,56.90 ,57.00 ,56.80 
13,07/12/2021,56.00 ,57.00 ,0.00 (0.00 %),"8,700 ","495,000,000 ",0 ,0 ,56.50 ,57.00 ,56.50 
14,06/12/2021,56.00 ,57.00 ,0.00 (0.00 %),"2,600 ","148,000,000 ",0 ,0 ,57.00 ,57.00 ,56.90 
15,03/12/2021,56.00 ,57.00 ,0.20 (0.35 %),"23,200 ","1,320,000,000 ",0 ,0 ,56.40 ,57.50 ,56.30 
16,02/12/2021,55.81 ,56.80 ,-0.20 (-0.35 %),"8,300 ","471,000,000 ",0 ,0 ,56.10 ,56.90 ,56.10 
17,01/12/2021,56.00 ,57.00 ,0.00 (0.00 %),"16,200 ","922,000,000 ",0 ,0 ,56.80 ,57.00 ,56.80 
18,30/11/2021,56.00 ,57.00 ,0.00 (0.00 %),"21,000 ","1,193,000,000 ",0 ,0 ,56.60 ,57.00 ,56.50 
