,Ngày,Giá điều chỉnh,Giá đóng cửa,thay đổi,KL1,GT1,KL2,GT2,Giá mở cửa,Giá cao nhất,Giá thấp nhất
0,23/12/2021,19.10 ,19.10 ,0.60 (3.24 %),"298,700 ","5,585,150,000 ",0 ,0 ,18.50 ,18.50 ,19.40 
1,22/12/2021,18.50 ,18.50 ,0.40 (2.21 %),"189,229 ","3,476,289,500 ",0 ,0 ,18.10 ,18.1 ,18.80 
2,21/12/2021,18.10 ,18.10 ,0.20 (1.12 %),"127,368 ","2,291,990,800 ",0 ,0 ,17.90 ,17.90 ,18.30 
3,20/12/2021,17.90 ,17.90 ,-0.50 (-2.72 %),"119,030 ","2,152,316,000 ",0 ,0 ,18.40 ,19.0 ,19.00 
4,17/12/2021,18.40 ,18.40 ,0.00 (0.00 %),"110,316 ","2,045,074,100 ",0 ,0 ,18.40 ,18.50 ,19.00 
5,16/12/2021,18.40 ,18.40 ,-0.20 (-1.08 %),"95,010 ","1,749,926,000 ",0 ,0 ,18.60 ,18.6 ,19.00 
6,15/12/2021,18.60 ,18.60 ,0.30 (1.64 %),"221,475 ","4,116,230,500 ",0 ,0 ,18.30 ,18.20 ,19.00 
7,14/12/2021,18.30 ,18.30 ,-0.40 (-2.14 %),"190,203 ","3,484,087,300 ",0 ,0 ,18.70 ,18.4 ,18.60 
8,13/12/2021,18.70 ,18.70 ,0.40 (2.19 %),"185,965 ","3,475,480,400 ",0 ,0 ,18.30 ,18.30 ,19.30 
9,10/12/2021,18.30 ,18.30 ,-0.20 (-1.08 %),"399,466 ","7,461,956,600 ",0 ,0 ,18.50 ,18.5 ,19.20 
10,09/12/2021,18.50 ,18.50 ,1.60 (9.47 %),"751,974 ","13,577,958,400 ",0 ,0 ,16.90 ,16.90 ,18.50 
11,08/12/2021,16.90 ,16.90 ,0.00 (0.00 %),"101,402 ","1,707,563,600 ",0 ,0 ,16.90 ,16.8 ,17.00 
12,07/12/2021,16.90 ,16.90 ,0.70 (4.32 %),"131,300 ","2,183,840,000 ",0 ,0 ,16.20 ,16.10 ,16.90 
13,06/12/2021,16.20 ,16.20 ,0.00 (0.00 %),"122,000 ","1,974,300,000 ",0 ,0 ,16.20 ,16.1 ,16.30 
14,03/12/2021,16.20 ,16.20 ,-0.20 (-1.22 %),"84,551 ","1,382,498,900 ",0 ,0 ,16.40 ,16.40 ,16.50 
15,02/12/2021,16.40 ,16.40 ,-0.10 (-0.61 %),"162,725 ","2,694,093,700 ",0 ,0 ,16.50 ,16.5 ,16.80 
16,01/12/2021,16.50 ,16.50 ,0.40 (2.48 %),"76,000 ","1,236,370,000 ",0 ,0 ,16.10 ,16.20 ,16.50 
17,30/11/2021,16.10 ,16.10 ,0.00 (0.00 %),"113,324 ","1,850,485,000 ",0 ,0 ,16.10 ,16.2 ,16.50 
18,29/11/2021,16.10 ,16.10 ,-0.30 (-1.83 %),"61,640 ","983,121,000 ",0 ,0 ,16.40 ,16.00 ,16.40 
19,26/11/2021,16.40 ,16.40 ,-0.20 (-1.20 %),"74,022 ","1,210,220,200 ",0 ,0 ,16.60 ,16.6 ,16.60 
20,25/11/2021,16.60 ,16.60 ,0.10 (0.61 %),"36,110 ","595,685,000 ",0 ,0 ,16.50 ,16.50 ,16.60 
21,24/11/2021,16.50 ,16.50 ,0.10 (0.61 %),"90,559 ","1,510,013,600 ",0 ,0 ,16.40 ,16.4 ,17.00 
22,23/11/2021,16.40 ,16.40 ,0.00 (0.00 %),"109,964 ","1,783,571,400 ",0 ,0 ,16.40 ,16.30 ,16.40 
23,22/11/2021,16.40 ,16.40 ,-0.60 (-3.53 %),"216,242 ","3,540,874,500 ",0 ,0 ,17.00 ,16.8 ,17.00 
24,19/11/2021,17.00 ,17.00 ,-0.60 (-3.41 %),"415,832 ","7,142,180,000 ",0 ,0 ,17.60 ,17.70 ,17.80 
25,18/11/2021,17.60 ,17.60 ,-0.10 (-0.56 %),"320,055 ","5,690,945,000 ",0 ,0 ,17.70 ,17.7 ,17.90 
26,17/11/2021,17.70 ,17.70 ,0.40 (2.31 %),"252,729 ","4,416,063,700 ",0 ,0 ,17.30 ,17.30 ,17.70 
27,16/11/2021,17.30 ,17.30 ,0.00 (0.00 %),"317,629 ","5,481,431,300 ",0 ,0 ,17.30 ,17.3 ,17.40 
28,15/11/2021,17.30 ,17.30 ,0.00 (0.00 %),"417,491 ","7,174,939,000 ",0 ,0 ,17.30 ,17.30 ,17.40 
29,12/11/2021,17.30 ,17.30 ,-0.10 (-0.57 %),"146,530 ","2,532,089,000 ",0 ,0 ,17.40 ,17.5 ,17.50 
30,11/11/2021,17.40 ,17.40 ,-0.10 (-0.57 %),"357,505 ","6,265,898,500 ",0 ,0 ,17.50 ,17.50 ,17.70 
31,10/11/2021,17.50 ,17.50 ,0.70 (4.17 %),"617,853 ","10,631,028,900 ",0 ,0 ,16.80 ,16.8 ,17.50 
32,09/11/2021,16.80 ,16.80 ,0.00 (0.00 %),"175,271 ","2,945,618,800 ",0 ,0 ,16.80 ,16.80 ,17.00 
33,08/11/2021,16.80 ,16.80 ,0.20 (1.20 %),"299,653 ","5,017,284,500 ",0 ,0 ,16.60 ,16.7 ,16.90 
34,05/11/2021,16.60 ,16.60 ,-0.10 (-0.60 %),"196,200 ","3,269,170,000 ",0 ,0 ,16.70 ,16.60 ,16.90 
35,04/11/2021,16.70 ,16.70 ,0.10 (0.60 %),"163,303 ","2,697,019,800 ",0 ,0 ,16.60 ,16.6 ,16.70 
36,03/11/2021,16.60 ,16.60 ,0.10 (0.61 %),"477,400 ","8,006,200,000 ",0 ,0 ,16.50 ,16.50 ,17.00 
37,02/11/2021,16.50 ,16.50 ,0.10 (0.61 %),"418,666 ","6,785,551,700 ",0 ,0 ,16.40 ,16.4 ,16.50 
38,01/11/2021,16.40 ,16.40 ,-0.40 (-2.38 %),"484,765 ","8,053,225,500 ",0 ,0 ,16.80 ,16.80 ,16.90 
39,29/10/2021,16.80 ,16.80 ,0.10 (0.60 %),"165,128 ","2,768,190,400 ",0 ,0 ,16.70 ,16.7 ,17.10 
40,28/10/2021,16.71 ,17.70 ,-0.10 (-0.56 %),"309,014 ","5,510,530,100 ",0 ,0 ,17.80 ,17.90 ,18.00 
41,27/10/2021,16.80 ,17.80 ,0.30 (1.71 %),"397,350 ","7,020,615,000 ",0 ,0 ,17.50 ,17.5 ,17.80 
42,25/10/2021,16.61 ,17.60 ,0.50 (2.92 %),"481,120 ","8,473,042,000 ",0 ,0 ,17.10 ,17.10 ,17.80 
43,22/10/2021,16.14 ,17.10 ,-0.30 (-1.72 %),"209,213 ","3,594,274,900 ",0 ,0 ,17.40 ,17.4 ,17.40 
44,21/10/2021,16.42 ,17.40 ,0.00 (0.00 %),"226,314 ","3,934,033,700 ",0 ,0 ,17.40 ,17.50 ,17.60 
45,20/10/2021,16.42 ,17.40 ,0.10 (0.58 %),"443,581 ","7,745,859,900 ",0 ,0 ,17.30 ,17.3 ,17.70 
46,19/10/2021,16.33 ,17.30 ,-0.10 (-0.57 %),"235,935 ","4,094,439,000 ",0 ,0 ,17.40 ,17.40 ,17.50 
