,Ngày,Giá điều chỉnh,Giá đóng cửa,thay đổi,KL1,GT1,KL2,GT2,Giá mở cửa,Giá cao nhất,Giá thấp nhất
0,28/12/2021,26.35 ,26.35 ,-0.65 (-2.41 %),"3,917,200 ","104,735,000,000 ","3,500,000 ","88,195,000,000 ",26.50 ,27.40 ,26.30 
1,27/12/2021,27.00 ,27.00 ,0.30 (1.12 %),"2,777,400 ","71,831,000,000 ","1,730,000 ","45,842,000,000 ",27.00 ,27.00 ,25.00 
2,24/12/2021,26.70 ,26.70 ,-0.60 (-2.20 %),"3,653,800 ","96,367,000,000 ",0 ,0 ,27.10 ,27.50 ,25.80 
3,23/12/2021,27.25 ,27.25 ,0.85 (3.22 %),"8,142,900 ","219,935,000,000 ","100,000 ","2,460,000,000 ",28.00 ,28.00 ,24.80 
4,22/12/2021,26.40 ,26.40 ,1.70 (6.88 %),"1,846,300 ","48,739,000,000 ","100,000 ","2,300,000,000 ",26.40 ,26.40 ,26.30 
5,21/12/2021,24.70 ,24.70 ,1.60 (6.93 %),"3,698,200 ","91,174,000,000 ",0 ,0 ,24.70 ,24.70 ,24.00 
6,20/12/2021,23.10 ,23.10 ,1.50 (6.94 %),"4,283,700 ","96,078,000,000 ","330,000 ","6,633,000,000 ",21.60 ,23.10 ,21.60 
7,17/12/2021,21.60 ,21.60 ,0.45 (2.13 %),"3,461,600 ","76,265,000,000 ","887,000 ","17,473,900,000 ",22.40 ,22.50 ,21.55 
8,16/12/2021,21.15 ,21.15 ,1.35 (6.82 %),"3,446,500 ","70,902,000,000 ","220,000 ","4,059,000,000 ",19.60 ,21.15 ,19.60 
9,15/12/2021,19.80 ,19.80 ,-0.30 (-1.49 %),"1,187,900 ","23,650,000,000 ","360,000 ","6,732,000,000 ",19.80 ,20.10 ,19.70 
10,14/12/2021,20.10 ,20.10 ,-0.50 (-2.43 %),"1,690,900 ","34,173,000,000 ","1,020,000 ","19,934,000,000 ",20.80 ,20.80 ,19.80 
11,13/12/2021,20.60 ,20.60 ,0.80 (4.04 %),"2,411,900 ","48,943,000,000 ","6,120,000 ","121,180,050,000 ",20.10 ,20.70 ,19.35 
12,10/12/2021,19.80 ,19.80 ,-0.40 (-1.98 %),"1,280,100 ","25,500,000,000 ",0 ,0 ,20.10 ,20.30 ,19.70 
13,09/12/2021,20.20 ,20.20 ,0.55 (2.80 %),"1,505,500 ","30,450,000,000 ","570,000 ","10,431,000,000 ",19.65 ,20.80 ,19.60 
14,08/12/2021,19.65 ,19.65 ,1.25 (6.79 %),"2,235,200 ","41,972,000,000 ","2,419,000 ","44,213,350,000 ",18.55 ,19.65 ,18.05 
15,07/12/2021,18.40 ,18.40 ,0.60 (3.37 %),"2,358,400 ","42,069,000,000 ","150,000 ","2,490,000,000 ",18.20 ,18.50 ,17.05 
16,06/12/2021,17.80 ,17.80 ,-1.30 (-6.81 %),"2,342,200 ","43,126,000,000 ","240,000 ","4,272,000,000 ",19.00 ,19.30 ,17.80 
17,03/12/2021,19.10 ,19.10 ,-1.25 (-6.14 %),"3,213,600 ","63,709,000,000 ","340,000 ","6,443,000,000 ",20.60 ,20.60 ,19.10 
18,02/12/2021,20.35 ,20.35 ,0.35 (1.75 %),"4,689,100 ","94,645,000,000 ","117,000 ","2,176,200,000 ",20.45 ,20.95 ,19.80 
19,01/12/2021,20.00 ,20.00 ,-0.55 (-2.68 %),"2,859,600 ","57,315,000,000 ","330,000 ","6,319,500,000 ",20.50 ,20.55 ,19.85 
20,30/11/2021,20.55 ,20.55 ,0.05 (0.24 %),"2,644,000 ","54,569,000,000 ","110,000 ","2,101,000,000 ",20.40 ,21.35 ,20.25 
21,29/11/2021,20.50 ,20.50 ,-0.30 (-1.44 %),"1,800,700 ","36,435,000,000 ","690,000 ","13,351,500,000 ",19.80 ,21.00 ,19.75 
22,26/11/2021,20.80 ,20.80 ,-0.20 (-0.95 %),"2,561,600 ","54,448,000,000 ","220,000 ","4,301,000,000 ",22.00 ,22.00 ,20.60 
23,25/11/2021,21.00 ,21.00 ,1.35 (6.87 %),"4,034,300 ","84,030,000,000 ","330,000 ","6,039,000,000 ",19.60 ,21.00 ,19.60 
24,24/11/2021,19.65 ,19.65 ,-1.35 (-6.43 %),"7,300,300 ","148,149,000,000 ","1,740,000 ","36,018,000,000 ",20.00 ,22.00 ,19.65 
25,23/11/2021,21.00 ,21.00 ,-1.55 (-6.87 %),"2,046,100 ","43,001,000,000 ",0 ,0 ,21.00 ,21.40 ,21.00 
26,22/11/2021,22.55 ,22.55 ,-1.65 (-6.82 %),"3,031,200 ","69,380,000,000 ","1,045,000 ","24,672,500,000 ",23.80 ,24.00 ,22.55 
27,19/11/2021,24.20 ,24.20 ,-0.30 (-1.22 %),"4,223,900 ","105,353,000,000 ","100,000 ","2,280,000,000 ",25.00 ,26.00 ,23.00 
28,18/11/2021,24.50 ,24.50 ,0.70 (2.94 %),"3,778,900 ","92,216,000,000 ","440,000 ","9,746,000,000 ",23.60 ,25.00 ,23.60 
29,17/11/2021,23.80 ,23.80 ,-0.05 (-0.21 %),"2,110,900 ","49,638,000,000 ","320,000 ","7,104,000,000 ",23.35 ,23.85 ,23.20 
30,16/11/2021,23.85 ,23.85 ,-0.95 (-3.83 %),"2,722,400 ","65,317,000,000 ","5,720,000 ","137,926,000,000 ",24.50 ,24.60 ,23.50 
31,15/11/2021,24.80 ,24.80 ,-0.50 (-1.98 %),"5,962,300 ","150,191,000,000 ","400,000 ","9,420,000,000 ",26.25 ,26.40 ,24.20 
32,12/11/2021,25.30 ,25.30 ,0.25 (1.00 %),"3,090,900 ","77,840,000,000 ","220,000 ","5,126,000,000 ",25.05 ,25.80 ,24.85 
33,11/11/2021,25.05 ,25.05 ,0.80 (3.30 %),"5,512,400 ","135,601,000,000 ","850,000 ","19,210,000,000 ",25.20 ,25.70 ,22.80 
34,10/11/2021,24.25 ,24.25 ,1.25 (5.43 %),"2,165,300 ","51,649,000,000 ","110,000 ","2,354,000,000 ",23.40 ,24.40 ,23.10 
35,09/11/2021,23.00 ,23.00 ,0.95 (4.31 %),"1,851,500 ","42,261,000,000 ","220,000 ","4,521,000,000 ",22.05 ,23.50 ,21.95 
36,08/11/2021,22.05 ,22.05 ,-0.65 (-2.86 %),"3,949,600 ","87,291,000,000 ","110,000 ","2,326,500,000 ",22.20 ,22.90 ,21.60 
37,05/11/2021,22.70 ,22.70 ,-0.10 (-0.44 %),"2,077,300 ","47,104,000,000 ","970,000 ","22,018,600,000 ",23.40 ,23.45 ,22.25 
38,04/11/2021,22.80 ,22.80 ,0.55 (2.47 %),"3,714,600 ","82,087,000,000 ","110,000 ","2,277,000,000 ",20.80 ,23.25 ,20.80 
39,03/11/2021,22.25 ,22.25 ,-1.65 (-6.90 %),"5,702,500 ","134,155,000,000 ","3,090,000 ","72,910,500,000 ",25.00 ,25.20 ,22.25 
40,02/11/2021,23.90 ,23.90 ,1.55 (6.94 %),"3,504,400 ","83,464,000,000 ","330,000 ","6,864,000,000 ",23.80 ,23.90 ,23.50 
41,01/11/2021,22.35 ,22.35 ,1.45 (6.94 %),"4,452,000 ","98,670,000,000 ","4,575,000 ","95,425,000,000 ",21.00 ,22.35 ,21.00 
42,29/10/2021,20.90 ,20.90 ,-0.75 (-3.46 %),"9,503,200 ","196,251,000,000 ","330,000 ","6,671,500,000 ",21.70 ,21.80 ,20.15 
43,28/10/2021,21.65 ,21.65 ,-0.25 (-1.14 %),"2,467,900 ","54,521,000,000 ",0 ,0 ,22.50 ,22.80 ,21.50 
44,27/10/2021,21.90 ,21.90 ,1.25 (6.05 %),"1,488,900 ","32,002,000,000 ","770,000 ","14,822,500,000 ",21.00 ,22.00 ,20.50 
45,26/10/2021,20.65 ,20.65 ,1.25 (6.44 %),"4,401,100 ","85,720,000,000 ","1,320,000 ","23,826,000,000 ",19.00 ,20.75 ,18.50 
46,25/10/2021,19.40 ,19.40 ,1.25 (6.89 %),"3,002,100 ","57,925,000,000 ","1,609,000 ","27,353,000,000 ",19.00 ,19.40 ,18.80 
47,22/10/2021,18.15 ,18.15 ,1.15 (6.76 %),"1,432,000 ","25,892,000,000 ","300,000 ","4,755,000,000 ",17.05 ,18.15 ,17.05 
48,21/10/2021,17.00 ,17.00 ,0.70 (4.29 %),"2,153,400 ","35,711,000,000 ","150,000 ","2,280,000,000 ",16.30 ,17.20 ,16.00 
49,20/10/2021,16.30 ,16.30 ,-0.30 (-1.81 %),"5,021,800 ","83,436,000,000 ",0 ,0 ,17.70 ,17.70 ,15.90 
50,19/10/2021,16.60 ,16.60 ,1.05 (6.75 %),"3,253,000 ","53,590,000,000 ","300,000 ","4,350,000,000 ",16.45 ,16.60 ,16.00 
51,18/10/2021,15.55 ,15.55 ,1.00 (6.87 %),"3,179,300 ","49,213,000,000 ",0 ,0 ,15.00 ,15.55 ,14.95 
52,15/10/2021,14.55 ,14.55 ,0.45 (3.19 %),"2,246,500 ","32,760,000,000 ",0 ,0 ,14.45 ,15.00 ,14.30 
