,Ngày,Giá điều chỉnh,Giá đóng cửa,Giá bình quân,thay đổi,KL1,GT1,KL2,GT2,Giá tham chiếu,Giá mở cửa,Giá cao nhất,Giá thấp nhất
0,09/12/2021,33.40 ,33.40 ,33.40 ,0.70 (2.14 %),"127,191 ","4,248,383,000 ",0 ,0 ,32.70 ,32.50 ,34.00 ,32.50 
1,08/12/2021,32.70 ,32.70 ,32.70 ,0.20 (0.62 %),"97,900 ","3,196,500,000 ",0 ,0 ,32.50 ,33.0 ,33.10 ,32.30 
2,07/12/2021,32.80 ,32.80 ,32.80 ,0.10 (0.31 %),"127,404 ","4,135,342,600 ",0 ,0 ,32.70 ,32.00 ,33.00 ,32.00 
3,06/12/2021,32.20 ,32.20 ,32.20 ,-0.90 (-2.72 %),"174,710 ","5,710,207,000 ",0 ,0 ,33.10 ,32.6 ,33.40 ,31.50 
4,03/12/2021,32.60 ,32.60 ,32.60 ,-1.20 (-3.55 %),"110,027 ","3,643,343,000 ",0 ,0 ,33.80 ,33.60 ,34.00 ,32.60 
5,02/12/2021,33.60 ,33.60 ,33.60 ,-0.10 (-0.30 %),"172,670 ","5,834,267,000 ",0 ,0 ,33.70 ,33.5 ,34.40 ,31.50 
6,01/12/2021,33.90 ,33.90 ,33.90 ,0.30 (0.89 %),"121,531 ","4,099,051,700 ",0 ,0 ,33.60 ,34.30 ,34.30 ,33.60 
7,30/11/2021,33.80 ,33.80 ,33.80 ,0.30 (0.90 %),"211,894 ","7,123,939,000 ",0 ,0 ,33.50 ,33.6 ,34.50 ,33.10 
8,29/11/2021,34.00 ,34.00 ,34.00 ,1.00 (3.03 %),"243,382 ","8,152,647,000 ",0 ,0 ,33.00 ,33.00 ,35.20 ,31.00 
9,26/11/2021,33.10 ,33.10 ,33.10 ,-0.30 (-0.90 %),"226,600 ","7,474,059,300 ",0 ,0 ,33.40 ,33.5 ,33.60 ,32.60 
10,25/11/2021,33.50 ,33.50 ,33.50 ,-1.00 (-2.90 %),"205,080 ","6,843,973,000 ",0 ,0 ,34.50 ,34.00 ,34.30 ,32.50 
11,24/11/2021,34.00 ,34.00 ,34.00 ,1.00 (3.03 %),"230,660 ","7,966,991,200 ",0 ,0 ,33.00 ,35.0 ,36.00 ,33.60 
