Ngày,Giá điều chỉnh,Giá đóng cửa,Giá bình quân,Giá tham chiếu,Giá mở cửa,Giá cao nhất,Giá thấp nhất,Change_Value,Change_Percent,KL,GT
2008-09-09,44.0,44.0,31.27,46.0,49.0,49.9,43.5,-2.0,-4.35,309380.0,14236694000.0
2008-09-10,41.8,41.8,29.71,31.27,41.8,41.9,41.8,10.53,33.67,254650.0,10644530000.0
2008-09-11,39.8,39.8,28.29,29.71,39.8,39.8,39.8,10.09,33.97,35120.0,1397776000.0
2008-09-12,37.9,37.9,26.94,28.29,37.9,37.9,37.9,9.61,33.99,2480.0,93992000.0
2008-09-15,38.2,38.2,27.15,26.94,37.9,39.7,37.9,11.26,41.82,484330.0,18711456000.0
2008-09-16,36.9,36.9,26.23,27.15,40.0,40.0,36.5,9.75,35.91,293470.0,11235408000.0
2008-09-17,35.1,35.1,24.95,26.23,35.2,35.5,35.1,8.87,33.84,151310.0,5318047000.0
2008-09-18,33.4,33.4,23.74,24.95,33.4,33.4,33.4,8.45,33.89,18820.0,628588000.0
2008-09-19,35.0,35.0,24.88,23.74,35.0,35.0,35.0,11.26,47.44,228130.0,7984550000.0
2008-09-22,36.7,36.7,26.08,24.88,36.7,36.7,36.7,11.82,47.54,39580.0,1452586000.0
2008-09-23,36.0,36.0,25.59,26.08,34.9,38.0,34.9,9.92,38.02,425830.0,15225051000.0
2008-09-24,35.5,35.5,25.23,25.59,36.0,36.0,35.0,9.91,38.75,63930.0,2278206000.0
2008-09-25,37.2,37.2,26.44,25.23,35.9,37.2,35.5,11.97,47.44,186290.0,6833976000.0
2008-09-26,39.0,39.0,27.72,26.44,39.0,39.0,38.5,12.56,47.51,495550.0,19322100000.0
2008-09-29,40.6,40.6,28.86,27.72,40.9,40.9,39.0,12.88,46.47,298490.0,12169668000.0
2008-09-30,38.6,38.6,27.43,28.86,38.6,38.6,38.6,9.74,33.77,8110.0,313046000.0
2008-10-01,38.0,38.0,27.01,27.43,38.4,39.4,37.0,10.57,38.52,88300.0,3365860000.0
2008-10-02,38.5,38.5,27.36,27.01,39.4,39.4,37.7,11.49,42.55,119910.0,4626847000.0
2008-10-03,37.5,37.5,26.65,27.36,36.6,38.5,36.6,10.14,37.05,103160.0,3829251000.0
2008-10-06,35.7,35.7,25.37,26.65,35.8,35.9,35.7,9.05,33.95,174930.0,6250635000.0
2008-10-07,34.0,34.0,24.16,25.37,34.0,35.7,34.0,8.63,34.0,202540.0,6894271000.0
2008-10-08,32.4,32.4,23.03,24.16,32.3,34.0,32.3,8.24,34.08,85950.0,2817725000.0
2008-10-09,32.0,32.0,22.74,23.03,31.1,34.0,31.1,8.97,38.97,82960.0,2678738000.0
2008-10-10,30.4,30.4,21.61,22.74,30.5,30.9,30.4,7.66,33.67,105310.0,3206373000.0
2008-10-13,29.0,29.0,20.61,21.61,31.7,31.7,28.9,7.39,34.22,53720.0,1585974000.0
2008-10-14,30.4,30.4,21.61,20.61,30.4,30.4,30.4,9.79,47.49,11390.0,346256000.0
2008-10-15,31.3,31.3,22.25,21.61,31.5,31.5,29.1,9.69,44.87,134010.0,4163535000.0
2008-10-16,29.8,29.8,21.18,22.25,29.8,30.2,29.8,7.55,33.96,80880.0,2412874000.0
2008-10-17,29.0,29.0,20.61,21.18,30.8,30.8,29.0,7.82,36.93,68080.0,2026050000.0
2008-10-20,28.0,28.0,19.9,20.61,28.0,28.0,27.6,7.39,35.85,110880.0,3077883000.0
2008-10-21,28.5,28.5,20.26,19.9,29.2,29.2,27.9,8.6,43.22,48730.0,1389196000.0
2008-10-22,27.1,27.1,19.26,20.26,27.2,27.5,27.1,6.84,33.79,59230.0,1609923000.0
2008-10-23,25.8,25.8,18.34,19.26,25.8,25.8,25.8,6.54,33.95,54970.0,1418226000.0
2008-10-24,24.6,24.6,17.48,18.34,24.6,24.7,24.6,6.26,34.16,129050.0,3175030000.0
2008-10-27,23.4,23.4,16.63,17.48,23.4,23.4,23.4,5.92,33.84,9900.0,231660000.0
2008-10-28,22.3,22.3,15.85,16.63,22.3,22.3,22.3,5.67,34.09,10350.0,230805000.0
2008-10-29,21.2,21.2,15.07,15.85,23.3,23.3,21.2,5.35,33.76,197510.0,4304014000.0
2008-10-30,20.3,20.3,14.43,15.07,20.2,21.5,20.2,5.23,34.73,99990.0,2029104000.0
2008-10-31,21.3,21.3,15.14,14.43,20.3,21.3,20.3,6.87,47.63,136350.0,2875417000.0
2008-11-03,21.4,21.4,15.21,15.14,21.3,21.5,20.3,6.26,41.36,63010.0,1311063000.0
2008-11-04,22.4,22.4,15.92,15.21,20.5,22.4,20.5,7.19,47.28,40850.0,880374000.0
2008-11-05,23.5,23.5,16.7,15.92,23.5,23.5,23.5,7.58,47.61,3600.0,84600000.0
2008-11-06,23.2,23.2,16.49,16.7,22.4,24.6,22.4,6.5,38.91,122880.0,2868593000.0
2008-11-07,22.1,22.1,15.71,16.49,22.1,22.8,22.1,5.61,34.03,103880.0,2297551000.0
2008-11-10,22.4,22.4,15.92,15.71,22.5,22.6,21.7,6.69,42.61,60610.0,1358791000.0
2008-11-11,21.3,21.3,15.14,15.92,21.5,21.7,21.3,5.38,33.79,36220.0,775055000.0
2008-11-12,20.9,20.9,14.85,15.14,20.3,20.9,20.3,5.76,38.06,41570.0,850801000.0
2008-11-13,20.4,20.4,14.5,14.85,20.9,21.0,20.4,5.55,37.34,51720.0,1067678000.0
2008-11-14,21.0,21.0,14.93,14.5,21.3,21.4,20.5,6.5,44.84,167040.0,3551016000.0
2008-11-17,21.3,21.3,15.14,14.93,21.0,21.4,21.0,6.37,42.71,70550.0,1486695000.0
2008-11-18,22.3,22.3,15.85,15.14,22.1,22.3,22.0,7.16,47.31,218800.0,4854773000.0
2008-11-19,22.3,22.3,15.85,15.85,23.3,23.3,22.3,6.45,40.7,94580.0,2167196000.0
2008-11-20,21.2,21.2,15.07,15.85,22.5,22.5,21.2,5.35,33.76,134690.0,2930633000.0
2008-11-21,20.4,20.4,14.5,15.07,20.2,21.0,20.2,5.33,35.39,186630.0,3799877000.0
2008-11-24,20.5,20.5,14.57,14.5,21.0,21.0,20.4,6.0,41.39,101800.0,2119284000.0
2008-11-25,20.5,20.5,14.57,14.57,20.5,20.5,19.7,5.93,40.7,43390.0,884925000.0
2008-11-26,20.4,20.4,14.5,14.57,20.5,20.8,20.3,5.83,40.02,93410.0,1914039000.0
2008-11-27,20.1,20.1,14.29,14.5,20.2,21.0,20.0,5.6,38.63,158430.0,3175745000.0
2008-11-28,18.7,18.7,14.76,14.29,18.1,18.9,18.1,4.41,30.9,45730.0,839994000.0
2008-12-01,17.8,17.8,14.05,14.76,17.8,18.4,17.8,3.04,20.6,54170.0,965076000.0
2008-12-02,17.0,17.0,13.42,14.05,17.0,17.0,17.0,2.95,21.01,4990.0,84830000.0
2008-12-03,16.2,16.2,12.79,13.42,16.2,16.3,16.2,2.78,20.74,88510.0,1434282000.0
2008-12-04,16.2,16.2,12.79,12.79,17.0,17.0,16.2,3.41,26.7,58590.0,970276000.0
2008-12-05,15.4,15.4,12.15,12.79,15.8,16.0,15.4,2.61,20.45,34760.0,539564000.0
2008-12-08,14.7,14.7,11.6,12.15,14.9,14.9,14.7,2.55,20.94,34900.0,514042000.0
2008-12-09,14.1,14.1,11.13,11.6,14.0,14.7,14.0,2.5,21.53,45260.0,641093000.0
2008-12-10,13.4,13.4,10.58,11.13,14.5,14.5,13.4,2.27,20.41,25070.0,346283000.0
2008-12-11,13.5,13.5,10.65,10.58,13.1,13.7,13.1,2.92,27.65,50630.0,665680000.0
2008-12-12,14.1,14.1,11.13,10.65,14.1,14.1,14.0,3.45,32.33,35820.0,504432000.0
2008-12-15,14.8,14.8,11.68,11.13,14.4,14.8,14.0,3.67,32.99,32510.0,470502000.0
2008-12-16,14.1,14.1,11.13,11.68,14.2,14.3,14.1,2.42,20.71,16820.0,238490000.0
2008-12-17,13.7,13.7,10.81,11.13,13.7,14.0,13.5,2.57,23.11,33660.0,465557000.0
2008-12-18,14.0,14.0,11.05,10.81,14.1,14.1,13.8,3.19,29.48,19990.0,279901000.0
2008-12-19,14.0,14.0,11.05,11.05,13.9,14.0,13.7,2.95,26.7,52810.0,734468000.0
2008-12-22,14.1,14.1,11.13,11.05,14.3,14.3,14.0,3.05,27.61,21720.0,307491000.0
2008-12-23,13.7,13.7,10.81,11.13,13.6,14.0,13.6,2.57,23.11,47380.0,655173000.0
2008-12-24,13.8,13.8,10.89,10.81,13.3,14.0,13.3,2.99,27.63,24740.0,337549000.0
2008-12-25,13.7,13.7,10.81,10.89,13.6,14.1,13.6,2.81,25.78,22360.0,307186000.0
2008-12-26,13.7,13.7,10.81,10.81,13.5,13.8,13.5,2.89,26.7,22700.0,309145000.0
2008-12-29,14.1,14.1,11.13,10.81,13.9,14.2,13.7,3.29,30.4,28340.0,398023000.0
2008-12-30,14.8,14.8,11.68,11.13,14.8,14.8,14.8,3.67,32.99,70300.0,1040440000.0
2008-12-31,14.8,14.8,11.68,11.68,15.5,15.5,14.8,3.12,26.7,171460.0,2635649000.0
2009-01-02,15.5,15.5,12.23,11.68,15.5,15.5,15.3,3.82,32.7,199060.0,3085197000.0
2009-01-05,15.4,15.4,12.15,12.23,15.6,15.6,15.0,3.17,25.88,26830.0,413566000.0
2009-01-06,15.0,15.0,11.84,12.15,15.2,15.4,15.0,2.85,23.41,61970.0,940223000.0
2009-01-07,15.2,15.2,12.0,11.84,15.4,15.5,15.2,3.36,28.39,55410.0,850603000.0
2009-01-08,14.8,14.8,11.68,12.0,15.3,15.3,14.8,2.8,23.37,135280.0,2029492000.0
2009-01-09,15.2,15.2,12.0,11.68,15.3,15.4,14.8,3.52,30.13,54480.0,822884000.0
2009-01-12,15.5,15.5,12.23,12.0,15.4,15.8,15.3,3.5,29.2,56480.0,879272000.0
2009-01-13,15.2,15.2,12.0,12.23,15.5,15.5,15.1,2.97,24.25,11320.0,172951000.0
2009-01-14,15.1,15.1,11.92,12.0,15.2,15.4,14.9,3.1,25.87,22980.0,348691000.0
2009-01-15,14.9,14.9,11.76,11.92,15.0,15.2,14.8,2.98,25.02,45040.0,659087000.0
2009-01-16,15.1,15.1,11.92,11.76,15.0,15.1,14.8,3.34,28.4,23490.0,350572000.0
